SimulationId,Naverage,Taverage,Bottleneck
383522_1,2,17,[]
383522_2,2,24,[]
383522_3,2,6,[]
383522_4,2,24,[]
383522_5,2,24,[]
383522_6,2,20,[]
383522_7,2,20,[]
383522_8,2,23,[]
383522_9,2,18,[]
383522_10,2,23,[]
383522_11,2,25,[]
383522_12,2,6,[]
383522_13,2,17,[]
383522_14,2,19,[]
383522_15,2,25,[]
383522_16,2,13,[]
383522_17,2,14,[]
383522_18,2,19,[]
383522_19,2,24,[]
383522_20,2,15,[]
383522_21,2,9,[]
383522_22,2,15,[]
383522_23,0,0,"[{""id"": 1.0, ""force_unit"": 8.0, ""desired_force_tracking"": 0.8, ""initial_position"": -6.0, ""position"": -0.5574373069315108, ""velocity"": 0.0, ""acceleration"": -2.8312079118052402, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": -3.6312079118052405, ""distance_travelled"": 5.442562693068489, ""initial_desired_velocity"": 0.8}, {""id"": 2.0, ""force_unit"": 2.0, ""desired_force_tracking"": -0.8, ""initial_position"": 7.0, ""position"": 0.2324388837501855, ""velocity"": 0.0, ""acceleration"": 0.10780197795131008, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": 0.9078019779513101, ""distance_travelled"": 6.767561116249815, ""initial_desired_velocity"": 0.8}]"
383522_24,2,8,[]
383522_25,2,9,[]
383522_26,2,24,[]
383522_27,2,23,[]
383522_28,2,18,[]
383522_29,2,16,[]
383522_30,2,14,[]
383522_31,0,0,"[{""id"": 1.0, ""force_unit"": 8.0, ""desired_force_tracking"": 0.8, ""initial_position"": -10.0, ""position"": -0.5570282011831265, ""velocity"": 0.0, ""acceleration"": -2.8314398641605756, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": -3.6314398641605754, ""distance_travelled"": 9.442971798816874, ""initial_desired_velocity"": 0.8}, {""id"": 2.0, ""force_unit"": 2.0, ""desired_force_tracking"": -0.8, ""initial_position"": 11.0, ""position"": 0.2327841140739123, ""velocity"": 0.0, ""acceleration"": 0.1078599660401438, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": 0.9078599660401439, ""distance_travelled"": 10.767215885926088, ""initial_desired_velocity"": 0.8}]"
383522_32,2,22,[]
383522_33,2,22,[]
383522_34,2,13,[]
383522_35,2,19,[]
383522_36,2,13,[]
383522_37,2,15,[]
383522_38,2,24,[]
383522_39,2,22,[]
383522_40,2,15,[]
383522_41,2,23,[]
383522_42,2,19,[]
383522_43,2,14,[]
383522_44,2,18,[]
383522_45,2,25,[]
383522_46,0,0,"[{""id"": 1.0, ""force_unit"": 8.0, ""desired_force_tracking"": 0.8, ""initial_position"": -5.0, ""position"": -0.5584725067989216, ""velocity"": 0.0, ""acceleration"": -2.830619398481092, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": -3.6306193984810924, ""distance_travelled"": 4.441527493201079, ""initial_desired_velocity"": 0.8}, {""id"": 2.0, ""force_unit"": 2.0, ""desired_force_tracking"": -0.8, ""initial_position"": 6.0, ""position"": 0.23156576796995837, ""velocity"": 0.0, ""acceleration"": 0.10765484962027305, ""time_travelled"": 50.00999999999862, ""interaction_force_tracking"": 0.9076548496202731, ""distance_travelled"": 5.7684342320300415, ""initial_desired_velocity"": 0.8}]"
383522_47,2,18,[]
383522_48,2,23,[]
383522_49,2,20,[]
383522_50,2,16,[]
