SimulationId,cohesion_degree,average_speed,average_direction
1.0_0.2_1.0_1.2_1,"[1.2692851137749441,1.2482590872296018,1.227643390099979,1.207513886689382,1.1878295412134838,1.1691087899366601,1.1523195106412136,1.1376105755036188,1.123555604462571,1.1105014908448694,1.0978452467453907,1.0863767890612457,1.0758494719761806,1.0661990301109747,1.0574500140190715,1.0494292413796074,1.0419625301598177,1.0353240354446234,1.028938283431253,1.0227851544487019,1.0171143850877715,1.0138284282328303,1.0162289900074726,1.0173672856768203,1.0090433789762803,0.9875903619045865,0.9513054754720286,0.8954065391461506]","[0.9163056347841924,0.9182186706657633,0.9177407220220193,0.9164941012811324,0.9127883728538996,0.9129615576253446,0.9253078135085689,0.9253493906167382,0.9253633729005138,0.9219464018134744,0.9258021628262256,0.9264005417781853,0.924496877450157,0.921369442670328,0.9371590553513931,0.9325801270955296,0.935748168378301,0.9331452033849804,0.9362655976622039,0.9338795057783348,0.9354349340472565,0.9350429861434759,0.9338561291896565,0.9354327116068761,0.9347251416677791,0.9384290490183487,0.9334802922811122,0.93410422403587]","[0.9156475914838424,0.9176057851176006,0.9171624044771828,0.9159451780412031,0.9122620557553706,0.9124791731977324,0.9248649754526327,0.9249413898595931,0.9249773026597463,0.9215878066473782,0.9254697551329151,0.9260918225436667,0.9242092742783696,0.9210998416901383,0.9369147106529567,0.9323639341465053,0.9355496062685213,0.9329587988046735,0.9360759755283103,0.9336850283585431,0.9352193862012582,0.9349683342179975,0.9338339688563164,0.9353945667088249,0.934374881250394,0.937186119494149,0.930290001088489,0.9263273314981555]"
1.0_0.2_1.0_1.2_2,"[1.3744949758119753,1.3864187168379114,1.3969679599534892,1.3960142446484605,1.3954548575310943,1.394640771806813,1.393705275398129,1.3924546236513966,1.391875085260261,1.3906683806974307,1.3897278547425906,1.3890977248243792,1.3882560870507845,1.3872785291205398,1.387044933438096,1.386287452977448,1.3859796753004647,1.3856104506538331,1.3850992244585005,1.3839445076959778,1.3788938021382413,1.3682583670932924,1.3517271137852664,1.3288404628089483,1.2991975653551642]","[0.9841187083138714,0.9841304667230383,0.9864315322944536,0.9936316171513774,0.9932929955549732,0.9932658575742759,0.9931501187859723,0.9934797854724342,0.9920841544163186,0.9920471055131583,0.9924499279981067,0.9913085865968995,0.9915680828600834,0.9911596034792951,0.9925698666150956,0.9902536771415875,0.9904190528832284,0.9909152976957769,0.9903222654395241,0.9877708884641296,0.9865895610294485,0.985109435497124,0.9831472710210982,0.9805439656151335,0.9771604896262667]","[0.9834225574619543,0.9835418081087108,0.9862007974252591,0.993579305471986,0.993222472898872,0.9932571941147063,0.9930907279659222,0.9934746523665215,0.992071865962631,0.9920129598932748,0.9924421250631347,0.9912895892366779,0.9915176881466867,0.9911402942924994,0.992544376917659,0.9902218190475548,0.9903771306787967,0.9908717111817696,0.9902511568958641,0.9876439917362098,0.9862957176804383,0.9844843784612887,0.9819093116951522,0.9781371968308271,0.9722517133832282]"
1.0_0.2_1.0_1.2_3,"[1.460543769430783,1.4532919981416053,1.447742081939433,1.4436063862690172,1.4405960167442406,1.4385044447529909,1.4371146791090115,1.4361475592994541,1.4264928232054035,1.4113620092246992,1.396891313515161,1.3828396716526155,1.3696728968966598,1.3567951269655243,1.3445310536086785,1.3328387545029043,1.3214300953847187,1.3101782356490055,1.2993005291851687,1.2886091065778391,1.2778841598717101,1.267196817571899,1.258595817470852,1.2525810901938719,1.230800786475017]","[1.0113762257946237,1.0110090658259716,1.0107167449772785,1.0104878388874157,1.010327179781219,1.0103619724906312,1.010448979997736,1.0105720540589294,0.9944811615438746,0.9946007473492618,0.9948040694027052,0.994196737730024,0.9919375442308275,0.989958039460131,0.9923990936830859,0.9904438270619411,0.991967299357869,0.9926947271700597,0.9942627184684674,0.9919300332630901,0.9935002422248629,0.9987062525411824,0.9983252654808313,0.9932723664326607,0.9797011106516551]","[1.0104946631958518,1.0101645447080454,1.0099075401402282,1.009712781113938,1.0095851867677539,1.0096520816435157,1.0097699656615742,1.009923255787018,0.9940845275955601,0.9942266888624282,0.9944439320680674,0.9938522092036907,0.9916153234812014,0.9896435052831616,0.9920631197867578,0.9901000593376105,0.9915945440770311,0.992284557591331,0.9937985993839976,0.9913781593211445,0.9928196496090996,0.9978416186225249,0.9976490406256131,0.9921422765408816,0.9731373471076996]"
1.0_0.2_1.0_1.2_4,"[1.262377609569163,1.267420807806815,1.2735008420191194,1.2804743637107918,1.2880863665909523,1.2959922403949722,1.2961331162607885,1.2829451420906772,1.2716805039520473,1.262142875508742,1.2538483575074588,1.24637199716099,1.2393393052483832,1.2324161914525973,1.2252992982358655,1.2182428808657348,1.2277141055926073,1.234283003000181,1.2367463074915996,1.2459004709828854,1.251187004878671,1.2508910574231575,1.2394922036842841]","[0.991752488181731,0.9903859308283838,0.988883029805552,0.987240657497614,0.9854709550010325,0.9836017897013942,1.003327626462685,1.0035795867112394,1.0022584745333192,1.0009300157331484,0.9996050654964537,0.998283949884031,0.9969649098807006,0.9956436457214775,0.9943128572913409,0.996165285955708,1.0000753185661266,1.0001103677252092,0.9994792764409506,0.9888405508496474,0.9845359219873882,0.980851716634082,0.9773860868664405]","[0.9914465328346803,0.9900586402905929,0.988527835227026,0.986848108212842,0.985029670795449,0.9831013656003549,1.0027882613151793,1.0030904562400973,1.001811195625768,1.0005062374784235,0.9991898325064155,0.9978643370048801,0.9965289038748603,0.9951791294469132,0.99380647875785,0.9959894884814735,0.999990829010843,0.9999612816003208,0.9991929911459919,0.9886200518171556,0.984045784221285,0.9797559948540916,0.9749019172917814]"
1.0_0.2_1.0_1.2_5,"[1.3665318665781168,1.356027255194146,1.3459860661657823,1.336741067841618,1.328198362029702,1.3202209163316314,1.3126829679756862,1.3054686192649343,1.2984699108975886,1.29158476217937,1.2847147600451498,1.277762723434978,1.2706224623084315,1.2631830199732443,1.2553353343606732,1.247612203287681,1.2400532145735548,1.2319944982775177,1.2234294536302277,1.2139261600184288,1.2036054740497109,1.200911735485949,1.1972954711855963,1.1832783521380672,1.1490849453775003]","[0.9951460373771301,0.9949053705182178,0.9947111363208265,0.994315382306787,0.993946624078798,0.9935987856302624,0.9932652674812333,0.9929399887003846,0.9926171048231514,0.9922907317028592,0.9919546495996406,0.9916024347828482,0.9912433817020612,0.9908502526225045,0.9904080784001933,0.9896494615915614,0.9867866322417069,0.9865370766888093,0.9847770196789463,0.9845060098785758,0.9797825370474346,0.9733869293686507,0.9708367153873082,0.9560558452814562,0.9547051461666076]","[0.994965841872751,0.9947387577937555,0.9945553199000053,0.9941668249694744,0.9938032211245258,0.9934587155084622,0.9931268862553039,0.9928017405278728,0.9924774370313493,0.9921480061005891,0.9918070401025861,0.9914477981890882,0.991079084602465,0.9906729129494171,0.9902131821974638,0.989430208344507,0.9865327409311826,0.986238617903209,0.9844139314496684,0.9840420725211391,0.9791755237327154,0.9730977966741869,0.9703953994770927,0.9541325519789268,0.9468838422740373]"
1.0_0.2_1.0_1.2_6,"[1.3027599257812157,1.3045774398244376,1.3067961557050047,1.3093343421591386,1.3121160647529106,1.3150682280611847,1.318117490464442,1.3211871926131236,1.3241944162099133,1.327047281865379,1.3296425833950458,1.331863825093903,1.3335796668863753,1.3346426851970636,1.3348882291302553,1.334133005643019,1.332172886278932,1.3287793273549853,1.3236938122155317,1.3166200849750187,1.3072153971824525,1.2950727337653645,1.2797564749970132,1.262585792732374]","[0.998793535174548,0.9988836353392195,0.999013017363259,0.9991736365161503,0.9993601513295967,0.999568638878928,0.9997957395669127,1.0000380262171613,1.0002914948863504,1.0005511307460964,1.000810534362269,1.0010616096343048,1.0012943159569088,1.0014964732544558,1.0016535798948187,1.0017485632943184,1.0017613370239804,1.0016679936462685,1.0014394301562377,1.001039214333051,1.0004210565670888,0.9995631867116866,0.9983588500323327,0.9844910977616095]","[0.9986367587657858,0.9987264848709927,0.9988531611926249,0.9990090827273922,0.999189259783456,0.9993901615444198,0.9996088849612141,0.9998425388429305,1.0000877339214596,1.0003401240052125,1.0005939744395826,1.0008417502970057,1.0010737191412338,1.0012775495670425,1.0014378535970327,1.0015355645934936,1.0015469562609547,1.0014419767030676,1.0011813534848393,1.000711521276829,0.9999559637085371,0.9988355489967058,0.9971244542139904,0.9828067516583076]"
1.0_0.2_1.0_1.2_7,"[1.3102983080976622,1.3169157200569552,1.3236328481532191,1.3327894611394238,1.3427099953718562,1.3523086777828293,1.3618897591913817,1.3709546781404758,1.3794397827809477,1.3869605314790845,1.3936648493089703,1.399531521768285,1.4040475303798752,1.4075720874305273,1.41005895770861,1.409629161377984,1.4084912186916123,1.4064503034822065,1.4005387050022204,1.3900583344814887,1.3747782222363418,1.354265912000737,1.3277778715287423,1.2940637839782159,1.2509354679206999]","[0.9974647053211176,0.9966774934502431,0.9959793890893227,0.99434055261807,0.9941610976656614,0.993363609303433,0.993338784386509,0.9925819937606677,0.9923103550054054,0.992327072289733,0.9919047317551914,0.9914817580538353,0.9910456657440516,0.990662686652594,0.9902823955116586,0.9896808194635968,0.9894159026964866,0.9888963269366766,0.9882541838749672,0.9874438928658478,0.9864248620821956,0.9851327856009349,0.9834610435500439,0.9812145631634914,0.977979741336132]","[0.996980516959752,0.9961759990842165,0.9954634869723991,0.9938028465864336,0.9936552963297003,0.9928692426996941,0.9928916360962696,0.9921701108074233,0.9919539295237777,0.9920118494986457,0.9916488988274142,0.9912842812690564,0.9908983206367268,0.990553517089174,0.9902040356594767,0.9896455790793625,0.989387668451192,0.9888645148706795,0.9881742476297176,0.9872562939408619,0.9860510574447778,0.9844603256769133,0.9823156042824519,0.97929887685815,0.9747136056959183]"
1.0_0.2_1.0_1.2_8,"[1.4026693550634555,1.3937259096599823,1.3856696057820528,1.3783004546402062,1.371446642583533,1.3649600040762202,1.3587118438123627,1.3573231451882908,1.3559686331436076,1.3546230539275474,1.3529446227178423,1.3508961509313295,1.34868557701575,1.346200714061232,1.3433536163916262,1.3405680741751644,1.3373544821820955,1.3338466722443356,1.3299937969824684,1.3258085498378838,1.321056984474906,1.3135351862811024,1.3009431646255494,1.2822115741479116,1.2763531608453185]","[0.9915637433392047,0.9911585130267052,0.9907999694012293,0.9904746483065385,0.9901719131624315,0.9898829588610359,0.9896001586564708,0.9939835815058,0.9955157078414034,0.9947400228496674,0.9945287328817385,0.9947674404785983,0.9970695363465766,0.9941919688390619,0.9967918045239595,0.9981254447680545,0.9973304807492652,0.9983081436288076,0.9979698703884796,0.9998811772298277,1.0023642374110437,1.0010995119075474,0.9989830048293133,0.9957405472034639,0.9684859645935956]","[0.9914354381028025,0.9910512214979854,0.9907073272787347,0.9903917932939628,0.9900950267045837,0.9898089099207213,0.9895262228852827,0.9939368687023036,0.9954613489808823,0.9946824769368484,0.9944641283663268,0.9946942985990965,0.9969852062520621,0.9940886159227689,0.9966822567583477,0.9979981458137306,0.9971721839464385,0.9981155606892137,0.9977111006741414,0.9995565426800966,1.0019408925331283,1.0004048158124543,0.9977390873411599,0.9932940193857398,0.9649356542885014]"
1.0_0.2_1.0_1.2_9,"[1.295343600732736,1.2913399481361254,1.2881874381040614,1.2856127307860972,1.2833914616664064,1.281337674763383,1.279295523677964,1.2771325480597666,1.2747340205431694,1.2719979947461615,1.268830772216408,1.2651425519345998,1.2608430364252494,1.2558367481045418,1.250017761325412,1.243263485528735,1.2354270647192485,1.239276461201345,1.2427588922554977,1.2448008905040056,1.2430825050880563,1.2348093533429534,1.2298061091761876,1.2290075338764521]","[1.0002205443703105,0.9992754611985206,0.9983708639368672,0.9975080856218745,0.9966871996627125,0.995906756661138,0.9951638003507398,0.9944539718167531,0.9937716009009581,0.9931097284011774,0.992460023210396,0.9918125646355089,0.9911554563434939,0.9904742268288085,0.9897509534216383,0.9889630256270068,0.9880814479937741,0.9969655465036315,0.9976283448641017,1.0016344493351457,1.0006024189702873,0.9987132920825443,0.9779791435295457,0.9697379952504821]","[0.9999029615017152,0.998997346208173,0.9981240298334274,0.9972860794042071,0.9964846391294874,0.9957189558305594,0.9949865471358121,0.9942833739939794,0.9936039495880344,0.992941346724719,0.9922870750988675,0.9916307965392163,0.9909598328863317,0.9902583967606804,0.9895064369128317,0.9886779316243818,0.9877383785820244,0.9968436853201968,0.9974196813443007,1.0013699398317304,1.0000823589930026,0.9976850462205538,0.9764959600099938,0.9676615722280661]"
1.0_0.2_1.0_1.2_10,"[1.3278893261169498,1.3403148624548233,1.3513749910139445,1.3611133732736107,1.3695436468804472,1.376659334523752,1.3824422066138684,1.3868686685824123,1.3899139680008052,1.3915542616129835,1.387196930638576,1.3793696002182445,1.371601542843672,1.3639712842306777,1.3564731644735746,1.3488643786026224,1.3490619180661554,1.35310863116397,1.356632865667553,1.3584068360879453,1.3560077183621195,1.3468446504924598,1.3303219178135095,1.305912080490298]","[0.9823329719346041,0.9823851169701827,0.9824530330417925,0.9825205800980383,0.9825732902121539,0.9825984132923542,0.9825851181744082,0.9825245978410782,0.9824099605228428,0.9822358892880793,0.9872190591960118,0.9846136382068393,0.9848154650200145,0.9840365015724019,0.9811175514283684,0.9812154284091638,0.9972250358494164,0.9923876988343308,0.9915716474648251,0.9894966103672017,0.9873932308904685,0.9855379751257701,0.9830573574392966,0.9797675265692918]","[0.9819653577336671,0.9819928966786403,0.9820434188258435,0.9821021151851111,0.982155097435587,0.9821893499734133,0.982192935637584,0.9821552019113241,0.9820668398212569,0.9819197329159814,0.9870012252528696,0.9844103229988802,0.9845962867081742,0.9837962748236156,0.9808560893338573,0.9809115311259459,0.9971487072199904,0.9923533031113483,0.9915147276181491,0.9893545316312098,0.9870364296461908,0.9847126648538784,0.9813259967294101,0.9761806330121152]"
