v,re,s,ra,c_d
2.2,1.4,1.0,0.2,0.02797242632861375
2.0,1.4,2.8,0.2,0.05313633630692887
2.2,2.0,3.4,0.4,0.09434966599101513
2.0,1.4,2.4,0.4,0.07178430195044794
1.8,1.4,2.6,0.2,0.05430210608398986
2.6,2.0,3.4,0.4,0.09279551023329813
2.0,2.0,2.4,0.4,0.07488783192425476
1.0,1.2,1.4,0.4,0.06958610331267362
2.6,0.2,1.2,0.8,0.08807232699505686
2.0,1.6,2.8,0.4,0.08091110717490936
1.2,0.4,1.0,0.2,0.0164662062214682
2.0,0.4,1.2,0.6,0.0677951074945436
2.6,0.8,1.2,0.6,0.06785464897090282
2.4,1.4,1.2,0.2,0.02997642194151155
1.2,2.0,2.8,0.2,0.05829608954374926
2.0,1.4,1.6,0.4,0.06620153174900081
3.0,0.2,2.2,0.6,0.09319897521689766
1.0,0.6,1.4,0.2,0.03263342427394801
1.2,1.6,3.4,0.2,0.05999107438157698
1.2,1.2,3.0,0.2,0.055794243994835936
1.4,1.8,1.2,0.4,0.06671547376439839
3.0,0.2,2.2,0.4,0.041207856334825495
2.6,0.4,2.4,0.2,0.013374614031892407
2.6,1.6,1.4,0.6,0.08214923498172276
2.4,1.4,1.0,0.6,0.06725032660355293
1.6,0.8,4.0,0.2,0.055406278402221884
1.8,0.2,1.0,0.6,0.05777213728707716
2.0,1.8,1.0,0.8,0.09607151866105723
1.4,0.2,1.2,0.6,0.07249243258035036
3.0,1.8,1.4,0.6,0.08667188972492303
1.0,1.0,1.2,0.2,0.0466963312713761
2.6,0.6,1.0,0.8,0.0846388913949569
2.8,1.6,1.4,0.4,0.06335190351986954
3.0,0.2,2.0,0.4,0.037711236002464274
3.0,1.0,2.4,0.4,0.06444155379229538
1.8,0.4,1.6,0.2,0.015199812939305526
2.2,2.0,1.0,0.6,0.0703655175553292
1.2,0.8,2.2,0.4,0.07127844152400925
3.0,0.4,1.8,0.6,0.0843720450182906
2.0,1.8,1.0,0.4,0.061323591286117675
1.2,1.2,1.8,0.4,0.07056798589526843
1.2,0.2,1.0,0.6,0.06463305145434659
3.0,2.0,1.0,0.8,0.09272793446403517
3.0,1.0,3.4,0.2,0.032827935830116
1.6,0.8,3.6,0.4,0.09621370288624677
2.4,0.8,1.8,0.2,0.023933996182911317
2.2,0.4,2.8,0.4,0.07429481040532475
2.6,1.8,3.2,0.4,0.08678710557488797
2.2,2.0,1.0,0.4,0.061506092476965486
1.2,0.8,2.2,0.2,0.04629072587103337
1.6,0.8,3.4,0.4,0.09160871771083108
2.2,1.4,1.6,0.6,0.0974573572048669
2.0,0.4,2.4,0.4,0.06720234079401001
1.2,0.6,3.6,0.4,0.09659046557164842
3.0,1.4,1.0,0.2,0.015779018714641983
1.4,0.6,2.8,0.2,0.03612189820831185
1.2,2.0,2.6,0.4,0.07871914598832122
2.6,1.8,3.4,0.2,0.05078132811521178
1.8,1.4,1.6,0.2,0.043368289058235115
1.0,0.2,1.4,0.2,0.019932960370474845
