v,re,s,ra,a_s
1.0,2.0,3.2,2.0,0.05061450633591587
1.0,2.0,2.2,1.0,0.0571529700903449
1.0,1.2,3.4,0.8,0.0741801108222449
1.0,0.6,1.6,0.8,0.09179888016450664
1.0,2.0,2.4,2.0,0.052322025091554605
1.0,1.8,3.6,0.6,0.06393945073283698
1.2,1.4,3.2,1.4,0.07714025260146082
1.0,1.4,3.0,0.6,0.07324516660913419
1.0,1.4,1.4,0.6,0.07542683378197841
1.0,1.2,1.6,1.0,0.07658220389951305
1.0,1.2,3.2,1.2,0.043959181855072284
1.0,1.6,2.0,1.6,0.0365854778932788
1.0,1.4,2.8,0.8,0.07085869044378451
1.0,1.2,3.8,1.4,0.04213918805396581
1.0,1.8,1.0,0.4,0.09062183484584356
1.0,0.6,1.6,1.4,0.08935413970926825
1.0,2.0,3.2,0.6,0.060679098328547613
1.0,1.6,4.0,0.8,0.06522920272209436
1.0,0.6,1.6,1.4,0.08935413970926825
1.0,0.4,1.2,1.2,0.09639865101905314
1.2,1.6,3.4,1.4,0.07302565969954111
1.2,1.4,3.4,1.4,0.07712886448526157
1.0,1.8,3.8,1.6,0.05525444375608096
1.0,1.8,2.0,1.6,0.032591096651385175
1.0,0.8,3.6,0.2,0.09951274527350384
1.0,1.4,3.6,1.0,0.03990501962303634
1.0,0.6,3.4,1.0,0.08859885882983487
1.0,1.8,1.8,0.8,0.06533491939165495
1.0,2.0,1.6,0.6,0.0624707973288048
1.0,1.6,3.8,1.6,0.06042867148073713
1.0,0.4,1.0,0.8,0.09765335383470107
1.0,0.6,3.4,1.8,0.08792516280581822
1.0,1.8,3.2,1.2,0.031756369322374585
1.0,1.2,1.2,0.4,0.09343638937168687
1.0,0.4,3.4,1.4,0.09505205294841322
1.0,0.8,3.4,1.6,0.08208404573978544
1.0,1.0,2.6,0.6,0.0822000836905234
1.0,0.6,3.0,1.2,0.08901481758978387
1.0,1.6,3.6,0.6,0.06797942052936498
1.0,0.6,1.4,0.8,0.09212082649246388
1.0,1.2,3.4,0.8,0.0741801108222449
1.2,1.6,3.2,1.2,0.07387480782384777
1.0,2.0,1.8,0.4,0.08066899605802166
1.0,1.2,3.8,1.6,0.04189112546433397
1.0,1.6,1.8,2.0,0.03469058560829013
1.0,1.8,1.6,1.4,0.0609414940840038
1.0,1.2,2.6,0.6,0.07773604491292005
1.0,0.8,2.8,1.2,0.08330865071565857
1.0,0.4,2.4,0.2,0.09962037944133327
1.0,1.6,2.8,0.4,0.07200786975771324
1.2,1.4,1.6,1.6,0.07766513846201484
1.0,2.0,2.0,0.6,0.0618374307606149
1.0,1.8,1.0,1.0,0.06503472798279138
1.0,0.6,2.8,0.6,0.09144683246997708
1.0,1.2,1.4,1.4,0.07450232968944394
1.0,0.4,2.0,1.4,0.09501792362668313
1.0,1.2,2.6,1.4,0.04321163541327327
1.0,1.2,1.0,0.4,0.09531276619640194
1.0,0.8,2.4,1.2,0.08365032363425624
1.0,1.8,1.6,1.4,0.0609414940840038
1.0,0.6,1.4,1.6,0.08903225502775153
1.0,1.4,2.4,1.2,0.040431036108204
1.0,0.8,1.2,1.0,0.08702351319952324
1.0,0.4,1.6,1.8,0.09513288152963853
1.0,1.0,1.4,2.0,0.07815271617069419
1.0,1.4,1.0,1.4,0.0719971991309206
1.0,1.4,3.2,1.2,0.010488304855624195
1.0,1.6,2.2,0.2,0.0962563444140813
1.0,2.0,2.2,1.8,0.05221118297000098
1.0,1.4,1.6,0.6,0.07489502178240534
1.0,1.6,1.8,0.8,0.06912508132585722
1.0,0.4,3.8,0.4,0.0974273276804409
1.0,1.0,2.0,1.6,0.07789533971438578
1.0,1.2,1.8,0.8,0.07733445359552414
1.0,1.0,2.6,1.6,0.04819357773281136
1.0,1.6,3.6,2.0,0.0602897091390276
1.0,1.8,3.6,0.2,0.0950073225905728
1.0,0.8,1.6,0.4,0.0956439620505051
1.0,0.8,1.6,1.0,0.08565066453198013
1.0,1.8,2.4,0.4,0.07235049209725443
1.0,1.8,1.0,1.8,0.06469737934792262
1.0,1.4,3.4,1.2,0.03952824889278366
1.0,0.6,4.0,0.2,0.098247944621342
1.0,1.8,2.4,2.0,0.056991539192735814
1.0,1.4,1.2,0.8,0.07453570750321782
1.0,1.8,1.2,0.8,0.06605649719699044
1.0,0.4,1.0,0.8,0.09765335383470107
1.0,0.4,2.0,1.4,0.09501792362668313
1.0,1.0,3.0,0.6,0.08177850003484673
1.0,0.4,1.0,0.8,0.09765335383470107
1.0,0.6,2.6,1.8,0.08859278499838666
1.0,1.8,4.0,0.4,0.06469964271760878
1.2,1.8,3.0,1.4,0.06971700771785097
1.0,1.4,2.0,0.4,0.0854440871830921
1.0,0.4,3.2,1.6,0.09466518405425392
1.0,1.8,2.8,0.4,0.06878490730243206
1.0,1.2,1.6,0.6,0.07890887347702231
1.0,1.8,1.0,2.0,0.0637249866846238
1.0,1.2,4.0,2.0,0.07087484232998949
1.2,2.0,1.8,1.4,0.06845390041381656
1.2,1.0,3.4,0.8,0.16600767494527155
1.4,1.8,3.0,1.2,0.13814497663472122
1.2,2.0,1.6,0.8,0.1483300422378949
1.4,1.8,1.8,2.0,0.1387473871326842
1.2,0.8,2.2,1.8,0.16924161180502614
1.2,1.4,4.0,1.8,0.15142501341779632
1.4,1.6,2.8,1.4,0.1413306741029459
1.2,0.8,2.8,1.2,0.17013023488752071
1.2,0.4,1.4,1.2,0.1831186209986147
1.2,1.8,4.0,1.0,0.10843465355961814
1.2,1.6,3.6,2.0,0.14692905818132834
