SimulationId,cohesion_degree,average_speed,average_direction
9591.0_1,"[0.413993998457,0.407840551829]","[3.01505621299,3.0040006286]","[3.0150028586,3.00386233937]"
9591.0_2,"[0.415234343284,0.413073838815]","[3.01598429251,3.00731845785]","[3.01595228411,3.00726267689]"
9591.0_3,"[1.6029452025,1.41208962644]","[3.01734506103,3.01045092462]","[3.0166517035,3.01006716311]"
9591.0_4,"[0.408501319053,0.411410558673]","[3.01472686504,3.00154780921]","[3.01457317766,3.00107449058]"
9591.0_5,"[0.408037574372,0.411050229179,0.40871880186]","[3.01587568781,3.00813959466,2.99074066659]","[3.01549564772,3.00803577734,2.99008693205]"
9591.0_6,"[0.382872241726,0.374586185701]","[3.01589852926,2.99630484917]","[3.01582088855,2.9960407677]"
9591.0_7,"[1.0774490548,0.955850752321]","[3.01677075926,3.0097914748]","[3.01521732659,3.00884015469]"
9591.0_8,"[0.414975141072,0.410351202642]","[3.01589631385,3.00641213969]","[3.01583167667,3.0063225768]"
9591.0_9,"[1.34018903484,1.28971848158]","[3.01675723307,3.00965934897]","[3.01475219135,3.00828807792]"
9591.0_10,"[0.361280641447,0.416867757843]","[3.03086492107,3.0208260221]","[3.02431570187,3.01596000609]"
