v,re,s,ra,a_s
1.0,1.6,2.0,0.8,0.06832933997531121
1.0,0.4,4.0,1.2,0.09484564420941413
1.0,1.6,3.8,0.4,0.06915165869170987
1.0,0.6,2.2,0.8,0.09081844869565744
1.0,1.2,1.8,0.6,0.07855720497788371
1.0,1.8,3.4,1.4,0.00185949680263584
1.0,1.4,2.4,1.4,0.04085361927284724
1.0,2.0,3.4,1.2,0.02805211564117677
1.0,1.0,1.8,1.4,0.07851746363940641
1.0,0.8,3.2,1.6,0.08201007956320375
1.0,1.0,1.6,1.2,0.07943381758910782
1.0,0.6,4.0,1.8,0.08751094027319839
1.0,1.4,1.8,1.6,0.04068462110874317
1.0,0.4,2.6,0.6,0.09689514496642697
1.0,0.4,1.2,1.8,0.0952194065600583
1.0,0.6,2.2,1.8,0.0889766075931388
1.2,1.4,3.4,1.2,0.07741145957751303
1.0,2.0,2.6,0.8,0.058949839716114324
1.0,1.4,1.8,1.8,0.03848685544427243
1.0,1.8,3.0,1.0,0.032241413878438915
1.0,1.8,4.0,0.4,0.06469964271760878
1.0,1.2,3.8,1.0,0.04397105571029508
1.0,2.0,3.4,0.4,0.06371077929574781
1.0,0.8,1.8,1.0,0.08519744842809793
1.0,1.4,3.2,1.2,0.010488304855624195
1.0,0.4,3.8,1.6,0.0943064366998264
1.0,2.0,1.8,0.8,0.06073016119281705
1.0,0.6,2.0,1.6,0.08915612499687818
1.0,1.2,3.0,0.8,0.07491205576190903
1.0,0.6,1.2,1.8,0.08925089225953464
1.0,2.0,3.6,1.4,0.05179159465594437
1.0,1.2,3.6,1.6,0.04216944619192423
1.0,2.0,2.8,1.6,0.05232781009054367
1.0,1.6,1.2,0.6,0.07485120631641662
1.0,1.8,2.0,1.6,0.032591096651385175
1.0,1.6,2.2,0.6,0.0699115599443139
1.0,1.2,2.8,0.6,0.07760658670642773
1.0,1.6,1.8,0.8,0.06912508132585722
1.0,0.4,2.4,1.0,0.0952115665602441
1.0,1.4,1.4,0.8,0.07411351555546376
1.0,0.4,2.8,1.2,0.0948696056060195
1.0,2.0,2.8,0.4,0.0655838027989621
1.0,0.8,2.4,0.4,0.08989630516861792
1.0,1.6,1.2,1.8,0.06420836116563085
1.0,0.4,2.4,1.8,0.09480528196768184
1.0,1.8,2.8,0.4,0.06878490730243206
1.0,1.8,3.8,0.4,0.06563115587290243
1.0,1.2,3.2,0.4,0.07895897372597441
1.0,0.6,3.4,0.2,0.09866810785670492
1.0,1.6,4.0,0.4,0.06887861187495684
1.0,1.2,3.4,2.0,0.07108776342642383
1.0,2.0,2.0,1.8,0.02655566551231737
1.0,0.6,2.8,0.2,0.09928249666773327
1.0,0.6,2.2,0.6,0.09188410017540087
1.0,0.6,2.4,1.4,0.08945361725077862
1.0,1.2,3.2,1.2,0.043959181855072284
1.0,0.4,3.0,0.8,0.09525012415863644
1.0,1.2,3.6,2.0,0.07109928536926079
1.0,1.0,2.6,2.0,0.07650110498461565
1.0,1.0,4.0,0.8,0.07824314489521066
1.0,0.6,3.8,2.0,0.08766105264289502
1.0,1.8,2.6,0.8,0.063156915649875
1.0,0.8,4.0,0.6,0.08532858341341155
1.0,1.4,3.4,0.8,0.06965158432940889
1.0,1.4,2.0,0.2,0.09228695849400703
1.0,1.6,1.4,0.2,0.09435540661153298
1.0,1.2,3.2,2.0,0.07123909746969556
1.0,1.4,3.8,1.4,0.03747095112984136
1.0,1.2,1.0,2.0,0.07693090980608698
1.0,0.8,3.8,1.6,0.0812817873566797
1.0,0.6,3.4,0.6,0.090901137473505
1.0,1.0,4.0,1.2,0.07696426433076091
1.0,2.0,3.6,0.4,0.06350634115447505
1.0,0.6,2.0,1.0,0.08995712045122088
1.0,0.6,1.0,0.4,0.0977065143176147
1.0,2.0,1.4,2.0,0.027799768424506127
1.0,1.2,2.2,1.8,0.043482051813161816
1.0,0.4,2.0,1.2,0.09507752735094972
1.2,1.8,3.0,1.4,0.06971700771785097
1.0,0.8,1.0,1.4,0.08593713918958222
1.0,1.4,3.0,2.0,0.06634324602066582
1.0,1.0,1.4,1.2,0.08010560915284973
1.0,0.6,2.4,2.0,0.08838260771134061
1.0,1.6,3.2,1.0,0.035903235296168776
1.0,1.8,3.8,1.0,0.0318497204217015
1.0,0.4,1.0,2.0,0.09543917761149937
1.0,1.4,2.6,1.4,0.040379308023637435
1.0,2.0,1.2,1.8,0.0565629387829037
1.0,1.4,1.6,0.2,0.09003100952740797
1.0,1.8,3.0,0.4,0.06779265902847026
1.0,1.0,2.8,1.4,0.047933714546772484
1.0,1.2,1.8,0.4,0.08969410170856812
1.0,0.4,1.4,2.0,0.09523107038344604
1.0,1.2,3.4,0.4,0.07863767111563884
1.0,2.0,2.2,0.6,0.06153684237759832
1.0,1.2,1.2,1.4,0.07392325181076077
1.2,1.6,2.6,1.6,0.07395334262889096
1.0,1.2,3.4,1.6,0.04243452685566118
1.0,0.8,3.8,2.0,0.0816944284246522
