SimulationId,Naverage,Taverage,Bottleneck
260931_1,2,9,[]
260931_2,2,10,[]
260931_3,2,16,[]
260931_4,2,4,[]
260931_5,2,19,[]
260931_6,2,18,[]
260931_7,2,24,[]
260931_8,2,19,[]
260931_9,2,4,[]
260931_10,2,18,[]
260931_11,2,19,[]
260931_12,2,10,[]
260931_13,2,24,[]
260931_14,2,13,[]
260931_15,2,14,[]
260931_16,2,13,[]
260931_17,2,5,[]
260931_18,2,16,[]
260931_19,2,18,[]
260931_20,2,15,[]
260931_21,2,24,[]
260931_22,2,19,[]
260931_23,2,4,[]
260931_24,2,7,[]
260931_25,2,9,[]
260931_26,2,7,[]
260931_27,2,24,[]
260931_28,2,24,[]
260931_29,2,22,[]
260931_30,2,18,[]
260931_31,2,4,[]
260931_32,2,8,[]
260931_33,2,14,[]
260931_34,2,10,[]
260931_35,2,10,[]
260931_36,2,6,[]
260931_37,2,10,[]
260931_38,2,12,[]
260931_39,2,13,[]
260931_40,2,24,[]
260931_41,2,19,[]
260931_42,2,14,[]
260931_43,2,10,[]
260931_44,2,10,[]
260931_45,2,15,[]
260931_46,2,6,[]
260931_47,2,19,[]
260931_48,2,24,[]
260931_49,2,24,[]
260931_50,2,7,[]
