SimulationId,Naverage,Taverage,Bottleneck
856630_1,2,14,[]
856630_2,2,8,[]
856630_3,2,20,[]
856630_4,2,5,[]
856630_5,2,13,[]
856630_6,2,14,[]
856630_7,2,9,[]
856630_8,2,16,[]
856630_9,2,8,[]
856630_10,2,9,[]
856630_11,2,15,[]
856630_12,2,16,[]
856630_13,2,22,[]
856630_14,2,5,[]
856630_15,2,24,[]
856630_16,2,23,[]
856630_17,2,22,[]
856630_18,2,10,[]
856630_19,2,15,[]
856630_20,2,9,[]
856630_21,2,18,[]
856630_22,2,9,[]
856630_23,2,6,[]
856630_24,2,10,[]
856630_25,2,8,[]
856630_26,2,20,[]
856630_27,2,9,[]
856630_28,2,4,[]
856630_29,2,19,[]
856630_30,2,10,[]
856630_31,2,3,[]
856630_32,2,10,[]
856630_33,2,12,[]
856630_34,2,6,[]
856630_35,2,7,[]
856630_36,2,13,[]
856630_37,2,19,[]
856630_38,2,20,[]
856630_39,2,9,[]
856630_40,2,13,[]
856630_41,2,14,[]
856630_42,2,3,[]
856630_43,2,15,[]
856630_44,2,18,[]
856630_45,2,23,[]
856630_46,2,14,[]
856630_47,2,4,[]
856630_48,2,11,[]
856630_49,2,14,[]
856630_50,2,14,[]
