SimulationId,Naverage,Taverage,Bottleneck
567393_1,2,11,[]
567393_2,2,7,[]
567393_3,2,24,[]
567393_4,2,16,[]
567393_5,2,9,[]
567393_6,2,24,[]
567393_7,2,18,[]
567393_8,2,20,[]
567393_9,2,9,[]
567393_10,2,20,[]
567393_11,2,8,[]
567393_12,2,9,[]
567393_13,2,6,[]
567393_14,2,19,[]
567393_15,2,14,[]
567393_16,2,24,[]
567393_17,2,13,[]
567393_18,2,14,[]
567393_19,2,11,[]
567393_20,2,14,[]
567393_21,2,14,[]
567393_22,2,15,[]
567393_23,2,13,[]
567393_24,2,5,[]
567393_25,2,19,[]
567393_26,2,16,[]
567393_27,2,13,[]
567393_28,2,20,[]
567393_29,2,22,[]
567393_30,2,14,[]
567393_31,2,9,[]
567393_32,2,7,[]
567393_33,2,16,[]
567393_34,2,13,[]
567393_35,2,11,[]
567393_36,2,8,[]
567393_37,2,24,[]
567393_38,2,20,[]
567393_39,2,4,[]
567393_40,2,7,[]
567393_41,2,19,[]
567393_42,2,19,[]
567393_43,2,20,[]
567393_44,2,8,[]
567393_45,2,9,[]
567393_46,2,22,[]
567393_47,2,8,[]
567393_48,2,24,[]
567393_49,2,6,[]
567393_50,2,19,[]
