SimulationId,Naverage,Taverage,Bottleneck
847508_1,2,5,[]
847508_2,2,7,[]
847508_3,2,6,[]
847508_4,2,14,[]
847508_5,2,8,[]
847508_6,2,18,[]
847508_7,2,16,[]
847508_8,2,22,[]
847508_9,2,16,[]
847508_10,2,10,[]
847508_11,2,20,[]
847508_12,2,20,[]
847508_13,2,18,[]
847508_14,2,10,[]
847508_15,2,12,[]
847508_16,2,15,[]
847508_17,2,14,[]
847508_18,2,23,[]
847508_19,2,23,[]
847508_20,2,24,[]
847508_21,2,18,[]
847508_22,2,7,[]
847508_23,2,8,[]
847508_24,2,23,[]
847508_25,2,22,[]
847508_26,2,15,[]
847508_27,2,20,[]
847508_28,2,9,[]
847508_29,2,14,[]
847508_30,2,14,[]
847508_31,2,19,[]
847508_32,2,15,[]
847508_33,2,22,[]
847508_34,2,23,[]
847508_35,2,9,[]
847508_36,2,3,[]
847508_37,2,9,[]
847508_38,2,20,[]
847508_39,2,23,[]
847508_40,2,23,[]
847508_41,2,23,[]
847508_42,2,16,[]
847508_43,2,20,[]
847508_44,2,13,[]
847508_45,2,23,[]
847508_46,2,14,[]
847508_47,2,16,[]
847508_48,2,7,[]
847508_49,2,14,[]
847508_50,2,16,[]
