SimulationId,cohesion_degree,average_speed,average_direction
2.2_0.6_2.2_0.8_1,"[1.19028431722,1.18040779236,1.19668146053,1.19255067747,1.17584359228,1.14952953378,1.11500516705,1.06834171142,1.00213953576]","[1.84977359897,1.92721524938,1.92938923894,1.90909729338,1.90150237956,1.8912601229,1.88413992627,1.86685471313,1.85127363125]","[1.84575713865,1.92508778533,1.92891514256,1.90893415521,1.90123428025,1.89077925068,1.88327824353,1.86515890156,1.84837659974]"
2.2_0.6_2.2_0.8_2,"[1.42893028031,1.42795084432,1.42809140595,1.42999088669,1.43021954846,1.42174943565]","[2.1867238356,2.18417855898,2.17914256498,2.17832862737,2.17475391222,2.16036713319]","[2.1866174519,2.18405010353,2.17899957604,2.17811631082,2.17447817974,2.15917861724]"
2.2_0.6_2.2_0.8_3,"[1.41265633095,1.40094493991,1.3902650961,1.37889615097,1.36599847167,1.34808961506]","[2.17398193881,2.17330203199,2.17563144524,2.17564161102,2.18326694776,2.19042624665]","[2.17362729827,2.17289631922,2.17509932381,2.1748913822,2.18205018954,2.18777114138]"
2.2_0.6_2.2_0.8_4,"[1.38862804824,1.37316225622,1.36017043335,1.34252076348,1.32124317578,1.32849360605]","[2.19500717504,2.18580533963,2.17728330247,2.16854936944,2.17062162237,2.14441283241]","[2.19419586413,2.18498701457,2.176220606,2.16695276609,2.16939494751,2.14131435314]"
2.2_0.6_2.2_0.8_5,"[1.38449538927,1.37279144182,1.35792896821,1.33815200576,1.30994977414,1.2641676065]","[2.18932728212,2.18562736292,2.18147824577,2.17596757968,2.16684171326,2.14550058881]","[2.18906535001,2.18532898651,2.1811040364,2.17542106973,2.16581939507,2.14250589863]"
2.2_0.6_2.2_0.8_6,"[1.43462741299,1.44540591395,1.45065914643,1.44583007368,1.42549039327,1.38169447343]","[2.20957857824,2.21088664633,2.21187701287,2.21090293636,2.20565076718,2.19159519254]","[2.20846404007,2.20960895703,2.21065577311,2.20992261427,2.20463357933,2.18853178993]"
2.2_0.6_2.2_0.8_7,"[1.4335105919,1.435263478,1.43788207317,1.43935849601,1.44009491114,1.4232329648]","[2.18263990942,2.18141783753,2.17817066268,2.17579354468,2.17082122848,2.16096113254]","[2.18254755083,2.18135820137,2.17812065835,2.17576618656,2.17079114031,2.16008710547]"
2.2_0.6_2.2_0.8_8,"[1.44390102977,1.43320554337,1.4208511006,1.42370991108,1.42267231781,1.40889731634]","[2.18023089438,2.17644416639,2.18084187371,2.18818480353,2.19730165895,2.19319501651]","[2.18008234487,2.17620822386,2.1805587308,2.18766733175,2.19633435214,2.19075231817]"
2.2_0.6_2.2_0.8_9,"[1.4038648854,1.39342329283,1.37954974842,1.36089419208,1.34516782612,1.34462745231]","[2.18214123572,2.17789719082,2.17309929854,2.16679082654,2.17971853664,2.17811071335]","[2.18180656537,2.1774675834,2.17249993987,2.16581773684,2.17897658605,2.17467172877]"
2.2_0.6_2.2_0.8_10,"[1.43182472067,1.41765142862,1.41401822836,1.42370214687,1.43061361585,1.41878520347]","[2.18071684481,2.17429262912,2.19086715607,2.18187220885,2.17592995278,2.15768465093]","[2.1803545113,2.17387839685,2.19067487549,2.18161717173,2.17544072654,2.15533738503]"
