SimulationId,cohesion_degree,average_speed,average_direction
1.8_1.4_1.0_2.0_1,"[1.75180283067,1.76666379872,1.7755620173,1.7793796507,1.77850410466,1.77365884367,1.76554057632,1.75464114139,1.74006125655,1.72115179699,1.69759850661,1.66870682924,1.63306887384,1.58836146397,1.53076963192,1.45436235054,1.34902662086,1.19867842462,0.971105409142]","[1.42180019167,1.37126312988,1.36175802856,1.32856768143,1.31852609274,1.31917379411,1.31224440499,1.31943258487,1.31482667703,1.31342032291,1.31070086558,1.30865075767,1.31187528686,1.29516491739,1.2881877861,1.27167171093,1.23331464655,1.16959772481,1.04937426945]","[1.42156498473,1.37107622533,1.36170745644,1.32854851947,1.31850791681,1.31914241325,1.31219519226,1.31935748593,1.31470816757,1.31323342103,1.31041379723,1.30821607243,1.31119475375,1.29406347421,1.28627325598,1.26814827057,1.22620120062,1.15345623095,1.01585036]"
1.8_1.4_1.0_2.0_2,"[1.94952168788,1.94421199825,1.94746234708,1.95212871177,1.95370844009,1.96768985585,1.97225697402,1.97259422669,1.97435271617,1.97860749439]","[1.76807568776,1.75919870861,1.75251431405,1.74732640504,1.7433664541,1.74388985592,1.74426878185,1.74205867271,1.73162286923,1.73561201292]","[1.76779880875,1.75894728953,1.75227696638,1.74707149875,1.74306915166,1.74363880901,1.74393910909,1.74157476145,1.73102382036,1.73493801586]"
1.8_1.4_1.0_2.0_3,"[1.99237791271,1.99832210876,1.9998673671,2.00085734204,1.9999575235,1.99463276716,1.98465239523,1.97483255743,1.96171860688,1.94582765965]","[1.74493167299,1.75523746705,1.76078744428,1.7608552594,1.7557970291,1.74850310596,1.7531132638,1.75004545875,1.76496309446,1.76090447977]","[1.74444692208,1.75487873129,1.76024398279,1.76014192941,1.75497195231,1.74746619139,1.7516927933,1.74807063322,1.76203150499,1.75560321766]"
1.8_1.4_1.0_2.0_4,"[1.90727648659,1.90648282962,1.91097788437,1.90629518385,1.90043865571,1.88782548438,1.870650158,1.84673891346,1.81169797897,1.75023049945]","[1.82625496161,1.81825294127,1.80227939213,1.7972302135,1.78994182804,1.77951756548,1.7683008425,1.7526580138,1.71468490382,1.64394350351]","[1.82620622682,1.81824741654,1.80220082739,1.79700869113,1.78951195337,1.77877316397,1.76701992533,1.75028894203,1.70941553041,1.6243833669]"
1.8_1.4_1.0_2.0_5,"[1.97868668359,1.97553165939,1.97228275586,1.96646789183,1.95670204178,1.94223904532,1.92228110064,1.8951529539,1.85697681615,1.79783453867]","[1.78877900418,1.7804249908,1.77314786236,1.76657294282,1.76028919339,1.75380742868,1.74643759454,1.73696613656,1.72267261487,1.69500564171]","[1.78846684854,1.78011516376,1.77281638043,1.76619254891,1.75982677802,1.75321683288,1.74563157766,1.73573469405,1.72039502995,1.68911108612]"
1.8_1.4_1.0_2.0_6,"[2.00545006366,2.03401157382,2.07241282743,2.08211599686,2.03439813572,1.99818396329,1.99369621642,1.97489602707,1.96224645893,1.95155372976]","[1.81984833022,1.81796470412,1.81986781614,1.77409277126,1.7510904171,1.77712455254,1.75881119937,1.77396929073,1.76373998762,1.76149812699]","[1.81813571682,1.81535966406,1.81589247312,1.77273947563,1.7492098763,1.77592252797,1.75782965973,1.77269766566,1.76200271706,1.7579190893]"
1.8_1.4_1.0_2.0_7,"[1.97865127867,1.97724068923,1.97809193664,1.98025026032,1.98062903035,1.97843004516,1.97214101421,1.96445345007,1.97028079876,1.97550317021]","[1.77614156268,1.76381707534,1.75529327986,1.75000014462,1.7467938432,1.7445018727,1.74121670874,1.73868913912,1.74142590347,1.73160199774]","[1.77591520252,1.76364129247,1.75509264714,1.74974839556,1.74646508288,1.74404026295,1.74057391581,1.73781733865,1.74081268632,1.73115321135]"
1.8_1.4_1.0_2.0_8,"[2.03998063417,2.03453996938,2.02967949234,2.02288054908,2.01267279065,1.99834066167,1.97941596114,1.95516940831,1.92792813332,1.94957323199]","[1.77401875242,1.76640881893,1.75967269209,1.75345123495,1.74738240866,1.74109285614,1.73417198028,1.72613135082,1.73301885966,1.76613054415]","[1.77391796476,1.76628506549,1.75949577025,1.75317845309,1.74694777788,1.74038552262,1.73298798729,1.72406480717,1.73070261922,1.7622850981]"
1.8_1.4_1.0_2.0_9,"[1.98435967526,1.98662150504,1.98823426964,1.98603473224,1.9785556782,1.96523362711,1.94543825523,1.91750430829,1.87737558177,1.81441435661]","[1.78875810442,1.77811386779,1.76927102938,1.76141080446,1.7539081043,1.7462190755,1.737668575,1.72707604586,1.71187010163,1.68381222326]","[1.78844306803,1.77774211455,1.7688127466,1.7608396561,1.75319538228,1.74531421317,1.73644575091,1.72518288775,1.7081612718,1.67283507258]"
1.8_1.4_1.0_2.0_10,"[2.00842199385,2.00138848207,1.9982716787,1.99568084302,1.99112831213,1.98548966869,1.97579697596,1.96009757504,1.94106811397,1.93514456956]","[1.77479887485,1.77073032237,1.76399735111,1.75824970222,1.75160300223,1.74258501841,1.73858850487,1.73398236708,1.72359396615,1.74579726414]","[1.77428771877,1.77029027522,1.76360071365,1.75779188069,1.75100421556,1.74170234139,1.73728656216,1.7319153828,1.72017250097,1.74361384789]"
