v,re,rep_s,rep_ra,att_s,att_ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,1.0,0.2,1.49454794706,1.00063319287,0.999588929557
1.2,0.2,1.0,0.2,1.0,0.2,1.47877873388,1.20088631095,1.19962392833
1.4,0.2,1.0,0.2,1.0,0.2,1.4522138647,1.40114360777,1.39966069482
1.5999999999999999,0.2,1.0,0.2,1.0,0.2,1.43397235217,1.60145285686,1.5997475303
1.7999999999999998,0.2,1.0,0.2,1.0,0.2,1.41392438071,1.80178220732,1.79985353233
1.9999999999999998,0.2,1.0,0.2,1.0,0.2,1.39782412314,2.00215166277,1.9999987357
2.1999999999999997,0.2,1.0,0.2,1.0,0.2,1.37328938018,2.20249421758,2.20011675283
2.4,0.2,1.0,0.2,1.0,0.2,1.33607911203,2.40294163464,2.40044716528
2.6,0.2,1.0,0.2,1.0,0.2,1.31371303173,2.60338706326,2.6007160081
2.8000000000000003,0.2,1.0,0.2,1.0,0.2,1.323036014,2.80373264388,2.80067869072
