SimulationId,cohesion_degree,average_speed,average_direction
1.0_0.2_1.0_0.2_1.0_0.4_1,"[1.4364193334276032,1.3998323989156671,1.3637408015906693,1.3278579816993397,1.2919942000250981,1.2559579421469151,1.2194660242741187,1.1821010251970907,1.1433414417889785,1.1025734021216196,1.0589862472015368,1.0114251421713596,0.9584999451844709,0.9002899313983811,0.8456683538538865,0.8135988383096857,0.8007454564773232,0.7925828977057048,0.7851831926498811,0.7779199229385412,0.7703489113429084,0.7619669724278935]","[1.002921602848947,1.0027529789394651,1.0026349374468275,1.0025533225783745,1.0024934362384363,1.0024442663731694,1.0024084348528204,1.0024032510075094,1.002451305592309,1.002582890347995,1.002848439958972,1.003328451990655,1.0040975878281297,1.0047996733519866,1.0035592881114987,1.0015277457730885,1.0010714367880498,1.0008763269055003,1.0006627642946775,1.0003691324771424,0.9998995365467049,0.9990131859699464]","[1.001553620859505,1.0013642896520643,1.0012246591681437,1.0011278453116008,1.0010605497207121,1.0010062666402155,1.0009488546962413,1.0008797336054756,1.0008029742359255,1.0007308269347583,1.0006761368820094,1.0006501724496033,1.0006636702847744,1.0007234399585865,1.0008115388529808,1.0008612289297205,1.0008240435483242,1.0007162757208152,1.0005418418665313,1.0002689301507894,0.9998092969913561,0.9989172149766281]"
1.0_0.2_1.0_0.2_1.0_0.4_2,"[0.9762442918211797,0.9207064772066358,0.8610471634707915,0.799208350525362,0.7374219269952026,0.6764469522347087,0.6181646885486013,0.5690661676652711,0.5306990607134543,0.4995388810676388,0.47813658942935977,0.4632854047821211,0.4479771690150689,0.43489905216540425,0.42660489710723565,0.42182487557794096,0.41900147061218673,0.41714163382737296,0.41565911816447143,0.4142070739332575,0.4125380408107553,0.41038613542078206,0.4073075423326249,0.40223338779335027]","[1.0038316974063495,1.0041556689909557,1.0045699400326824,1.0050772449094176,1.0056267511340187,1.0057159387146286,1.0047249522419048,1.0041361531838393,1.0041377506072482,1.0043483466234329,1.0047058320845654,1.0045505992512673,1.0040659230106448,1.0038512129675672,1.0036808922379574,1.003485116369492,1.0032735629164387,1.003043710652199,1.0027837775265336,1.0024695779427506,1.0020505349149338,1.0014101567224836,1.0002282424740605,0.9973078993928206]","[1.0026959612063477,1.002852234633845,1.003033317651609,1.0032125245283217,1.0033692857867162,1.0035143039266199,1.0036617248986501,1.0037735019740925,1.0038159632484047,1.0038201603897905,1.0038067095462762,1.0038058647227006,1.003813863045487,1.0037689198098811,1.003648759556831,1.0034752980777353,1.003271074143489,1.0030423875398498,1.002781547365705,1.0024652001239154,1.0020417839234248,1.00139101292419,1.0001779229892729,0.9971179965843786]"
1.0_0.2_1.0_0.2_1.0_0.4_3,"[2.2929895220842127,2.2815650137484753,2.2708559551635807,2.2608242269311565,2.2515474119969228,2.2431358144940634,2.2356749730836527,2.2291903438048295,2.2236149591291863,2.2187584823428197,2.2143895725835754,2.2103646694222445,2.206632852991482,2.2031839096834465,2.2000191189601366,2.1971422366455795,2.1945574135517614,2.192268898619221,2.190281225879956,2.1885996862625556,2.1872312527236657,2.186186498470757]","[1.0029280597642305,1.0029059675205867,1.0029180659572507,1.0029483964641395,1.0029776036449913,1.002986262281804,1.0029593505639656,1.0028836995682915,1.0027632595612894,1.002621698380892,1.0024729621930348,1.0023265601219755,1.002188469007716,1.00205979010983,1.0019393631262408,1.0018252794066735,1.0017152564833685,1.0016065352544543,1.0014954943898848,1.0013768839466965,1.0012422855417071,1.0010767496061181]","[1.0022757522684675,1.0022233459188237,1.0022133896397123,1.0022416025421106,1.0022949065366675,1.0023544206853414,1.0023981725203495,1.0024047600630106,1.0023567752609597,1.0022531295671064,1.0021169250407684,1.0019740898783758,1.0018371338665055,1.0017089446142318,1.001588812467956,1.0014749380435861,1.0013650576653466,1.0012563982555345,1.0011452976885757,1.0010264217268978,1.0008911762336257,1.000724210202877]"
1.0_0.2_1.0_0.2_1.0_0.4_4,"[1.394276504185882,1.3377974363965257,1.2792228746843417,1.2181094734044673,1.1539113536304708,1.0859475320317493,1.0135537164448887,0.9369445028401306,0.8593832682355564,0.7878852219068809,0.7261757909770343,0.6707437929965494,0.6170622168316647,0.5682473607239225,0.5274116532719253,0.49193187509671726,0.4629355669950937,0.4427691290113304,0.42969717251778927,0.4208220635082015,0.4140663759329833,0.40788661653980557,0.3998309932264885]","[1.0030399738112596,1.0032054340193042,1.003422935305747,1.0036585260214015,1.0038734301321195,1.0041165028505716,1.0045186541639706,1.004948786285026,1.0048264861224527,1.0041593285999935,1.0036976333026577,1.0034905391661288,1.003358844536265,1.0030906819574246,1.0027192817176933,1.0026057428350665,1.0026042323493645,1.0024924533432167,1.0021920247169864,1.0016805273692007,1.0008722003265018,0.9992744580256359,0.994576989360408]","[1.0008452228199753,1.0009018399770968,1.0009952816749443,1.0011178840830197,1.0012575007702105,1.0013968716021446,1.001523007438721,1.001636070238712,1.0017358128576237,1.0018046564530165,1.0018070790764528,1.0017309850741136,1.001729484748302,1.0018886607888928,1.0020373988415978,1.0021569264237158,1.0022185020610284,1.0021771722773123,1.0019910300756478,1.0015963037648181,1.0008416784427852,0.999225833601991,0.994312683096164]"
1.0_0.2_1.0_0.2_1.0_0.4_5,"[1.7203946552497378,1.6795217028957083,1.6386211658608247,1.5975910365100254,1.5563188794293747,1.5146989643354172,1.472614934131777,1.4299344143775317,1.386514873591626,1.3422311678748313,1.2970612725613175,1.2513021165884677,1.2059355709116442,1.162796388675496,1.124474830396063,1.0934974237292994,1.069103257967254,1.0479399940940846,1.0271811069295746,1.0056793016066106,0.982947125762889,0.9584862313421478,0.9315656746721018,0.9009390562470125,0.8639555652782226]","[1.0016096010969389,1.001459413820408,1.0013555550176085,1.001344093750273,1.0013867189665262,1.0014560154261312,1.001557334302118,1.0017000494580743,1.0018981599885248,1.0021688204137853,1.0025176097624073,1.0028819252316417,1.0030821979721272,1.0030913794527057,1.0027447206550923,1.0019541516803168,1.0014519098506547,1.001317094594965,1.001244158197367,1.0011567128868522,1.0010326924762498,1.0008361296025883,1.0004843685283293,0.9997449045913447,0.9977359493706084]","[1.000135374209697,0.9999720585521062,0.999847480181697,0.9998062263154555,0.9998077662091328,0.9998211614237995,0.9998462408544265,0.9998839788310372,0.9999362485042242,1.000005985357382,1.0000972716481553,1.0002148245698874,1.0003615484181387,1.0005317709318693,1.000695360848327,1.000791051737386,1.0008006839927759,1.0007657329303643,1.0007132030589845,1.000642752569685,1.0005372766332208,1.0003596252552138,1.0000212779898638,0.9992606523112066,0.9969544946568993]"
1.0_0.2_1.0_0.2_1.0_0.4_6,"[1.5422408329824921,1.4977667295787076,1.4519025774945802,1.4043084788828502,1.3548270180352302,1.3038637281658139,1.252864159029473,1.2038259416394497,1.1572885677603664,1.1118913968011968,1.0661316146781605,1.0200218072952363,0.9775952730446044,0.9461665358621426,0.9258485592256932,0.9124436852109088,0.9027263756178179,0.8944136861223406,0.8865486302828438,0.8786676968418297,0.869804500076064,0.8573627579548864]","[1.002361068394197,1.002357551034484,1.002407196414886,1.0025036752607508,1.0026348538412373,1.0027753158170074,1.0029051804736995,1.0030666482042014,1.00332987974335,1.0037561343817072,1.0044017539311187,1.0049781796659423,1.0039589803830844,1.0023535335519207,1.0019048714291476,1.0016945589132447,1.001549089837141,1.0013375568904872,1.0009523389951602,1.0002413206022878,0.9987529271486204,0.994380713056116]","[1.0008681660601533,1.00083548729255,1.0008439053995266,1.0008894320607322,1.0009675938164504,1.0010671732961558,1.0011616457515229,1.001215463830349,1.0012217066013536,1.0012117869338661,1.00122002927993,1.001272138504572,1.001363329889449,1.0014286597317272,1.0014219143275827,1.0013441762298447,1.001200501258321,1.0009766994907845,1.0006091589416568,0.9999247927324696,0.9984015922758733,0.9935738742472241]"
1.0_0.2_1.0_0.2_1.0_0.4_7,"[2.275183227787201,2.2390358089792377,2.203502085463487,2.1685440333220605,2.13413088943659,2.100236611245522,2.0668382850326648,2.033915442369586,2.0014504277477085,1.9694301572082515,1.937849826732247,1.9067193349884128,1.8760732420323798,1.8459846563085585,1.8165813052248283,1.7880413195178484,1.7606195408727061,1.7346324005442746,1.7103891364192492,1.688114164824237,1.6678864655791081,1.6496242537749048]","[1.0016496192904185,1.0014599248048328,1.0013119289578396,1.0011959396220669,1.001105406666397,1.0010358482038273,1.0009841874653254,1.000948317259994,1.0009267847875571,1.00091852567389,1.000922592020496,1.0009378272259115,1.0009624535544472,1.000993577742128,1.0010327778624706,1.0011019664373042,1.0011649207079159,1.0012136862176408,1.00124469818119,1.0012593276754658,1.0012638603301545,1.0012670231245]","[0.9999312965026188,0.9997529226911018,0.9996104598995208,0.9994951460628467,0.9994010109942799,0.9993239115883636,0.9992609507873211,0.9992101179261204,0.9991700612259435,0.9991399409697793,0.9991193313799865,0.99910814869692,0.9991065865747645,0.9991150402755082,0.9991400616103048,0.9992101897799909,0.9992968173107644,0.9993987567318685,0.9995154759567134,0.9996451840748902,0.9997843024110453,0.9999268076745185]"
1.0_0.2_1.0_0.2_1.0_0.4_8,"[0.9567991382013051,0.9268457004938281,0.9059012459292379,0.8888177631433208,0.872860833412713,0.8583907736273011,0.8460815420902129,0.8352292263341342,0.825138554864397,0.8155433947632951,0.8062757665496397,0.7972019980548606,0.788220601352673,0.7792466419045809,0.7702067125831735,0.761028073187734,0.7516318606013636,0.7419269971693045,0.7318022195174827,0.7211146460728625,0.7096719426279743,0.6972039289826921,0.6833262529815534]","[1.0050193821746367,1.0039055448546021,1.0032690429740199,1.0029203172164698,1.0025674273118657,1.0021380906787383,1.0018589398713988,1.0017309369697258,1.0016266813871273,1.0015273770227018,1.001431981415322,1.0013401553230326,1.001254686015798,1.00117919393944,1.0011020826999175,1.0010195531513268,1.0009265659013002,1.0008153720324926,1.0006730732213616,1.000476344748818,1.0001786789676186,0.9996746905364553,0.99867820269464]","[1.0034655242958814,1.003086361148127,1.0026339413555627,1.0022078125233596,1.0018707456378912,1.0016448579351793,1.0015107469203215,1.0014348152993755,1.001350304951228,1.0012612859857446,1.0011731612191546,1.001087522601562,1.0010078983618884,1.0009382752567326,1.0008672731408106,1.0007912156626917,1.0007051034284236,1.0006011151995342,1.000466056559122,1.0002757576351589,0.9999813062467606,0.9994697127762582,0.9984257516699102]"
1.0_0.2_1.0_0.2_1.0_0.4_9,"[1.9576450367733638,1.9201563127309733,1.8824223681708658,1.8441756372207028,1.8053218198285979,1.7657245880711074,1.7252728329252236,1.6843520212784207,1.645227261504735,1.6131433768908512,1.5906429209986825,1.5737976226938115,1.55907157440193,1.5455940562101218,1.533305064513463,1.5221624942710288,1.5121448232063472,1.5032623942569596,1.4955411307091213,1.4889955867305458,1.4836055149101772,1.479308875549285]","[1.0034453779816022,1.0030763485757617,1.0028489679228803,1.0027677964871788,1.0028265017221787,1.0030264523798822,1.0034020931105663,1.0038507794607066,1.0036148896816672,1.0023855415590581,1.001759708788421,1.001514275308639,1.0013830573531257,1.0012580802338316,1.001135703282681,1.001019207767721,1.000906167815743,1.0007926366064102,1.0006742125239068,1.0005450886720049,1.0003948745628768,1.0002026339530543]","[1.0013514164802872,1.0011125356940815,1.0008621314380222,1.0006664752139647,1.000532933243804,1.0004350732066347,1.000371510463738,1.0003421509370956,1.0003419938178952,1.0003461355067982,1.000323422921825,1.0002792596808203,1.0002135313108045,1.000122790878221,1.0000187860123209,0.9999125675749803,0.9998072474112314,0.9997011582880125,0.9995902508109158,0.9994677438651367,0.9993217810503868,0.9991301872104744]"
1.0_0.2_1.0_0.2_1.0_0.4_10,"[2.1049925312412308,2.0838480384947893,2.0631025274162393,2.0429981927152356,2.024028526028097,2.0068423257977095,1.9915951904650395,1.9776231216664066,1.964286971522468,1.951366618454395,1.9388416682127054,1.9267426523065248,1.915115430998825,1.9040160880567825,1.8935103391484536,1.8836723096970958,1.8745814126137954,1.8663169746546497,1.8589511396827092,1.8525512842418153,1.8471642190547957,1.8427998825512204]","[1.0019307712859447,1.0019235700429956,1.0019805005356546,1.0020179965891163,1.0018784331278017,1.0015067418264958,1.0012378295570736,1.0011253927616002,1.0010483369137941,1.0009817079565264,1.000922790559647,1.0008705690343793,1.0008244428969182,1.000784077183702,1.0007493229554094,1.0007201392735223,1.000696501157983,1.000678297977164,1.0006658534103163,1.0006739447511497,1.0006842701351428,1.0006938873491475]","[1.0007804800007185,1.000685163829502,1.0006448417234368,1.0006358986577788,1.0006432307323259,1.0006375649631198,1.0006104094372386,1.0005519271672032,1.0004829139737033,1.0004171808638302,1.0003573801021743,1.000303235817463,1.0002541592331453,1.0002097178097817,1.0001696895175913,1.0001340571579898,1.000102993078356,1.0000768360272205,1.0000566650522962,1.0000583179300278,1.0000648140913833,1.000074757473741]"
