SimulationId,Naverage,Taverage,Bottleneck
862474_1,2,9,[]
862474_2,2,22,[]
862474_3,2,19,[]
862474_4,2,24,[]
862474_5,2,24,[]
862474_6,2,22,[]
862474_7,2,24,[]
862474_8,2,20,[]
862474_9,2,24,[]
862474_10,2,24,[]
862474_11,2,14,[]
862474_12,2,13,[]
862474_13,2,24,[]
862474_14,2,14,[]
862474_15,2,18,[]
862474_16,2,15,[]
862474_17,2,7,[]
862474_18,2,23,[]
862474_19,2,20,[]
862474_20,2,13,[]
862474_21,2,14,[]
862474_22,2,15,[]
862474_23,2,23,[]
862474_24,2,19,[]
862474_25,2,9,[]
862474_26,2,21,[]
862474_27,2,6,[]
862474_28,2,16,[]
862474_29,2,22,[]
862474_30,2,15,[]
862474_31,2,23,[]
862474_32,2,19,[]
862474_33,2,16,[]
862474_34,2,9,[]
862474_35,2,17,[]
862474_36,2,6,[]
862474_37,2,25,[]
862474_38,2,18,[]
862474_39,2,18,[]
862474_40,2,19,[]
862474_41,2,14,[]
862474_42,2,26,[]
862474_43,2,8,[]
862474_44,2,25,[]
862474_45,2,18,[]
862474_46,2,15,[]
862474_47,2,6,[]
862474_48,2,19,[]
862474_49,2,24,[]
862474_50,2,24,[]
