SimulationId,Naverage,Taverage,Bottleneck
44978_1,2,18,[]
44978_2,2,7,[]
44978_3,2,22,[]
44978_4,2,23,[]
44978_5,2,18,[]
44978_6,2,9,[]
44978_7,2,7,[]
44978_8,2,20,[]
44978_9,2,19,[]
44978_10,2,7,[]
44978_11,2,12,[]
44978_12,2,9,[]
44978_13,2,9,[]
44978_14,2,8,[]
44978_15,2,9,[]
44978_16,2,8,[]
44978_17,2,20,[]
44978_18,2,15,[]
44978_19,2,18,[]
44978_20,2,24,[]
44978_21,2,7,[]
44978_22,2,19,[]
44978_23,2,22,[]
44978_24,2,14,[]
44978_25,2,9,[]
44978_26,2,8,[]
44978_27,2,16,[]
44978_28,2,13,[]
44978_29,2,11,[]
44978_30,2,19,[]
44978_31,2,16,[]
44978_32,2,23,[]
44978_33,2,4,[]
44978_34,2,20,[]
44978_35,2,10,[]
44978_36,2,19,[]
44978_37,2,6,[]
44978_38,2,9,[]
44978_39,2,20,[]
44978_40,2,7,[]
44978_41,2,22,[]
44978_42,2,9,[]
44978_43,2,24,[]
44978_44,2,20,[]
44978_45,2,24,[]
44978_46,2,8,[]
44978_47,2,20,[]
44978_48,2,14,[]
44978_49,2,11,[]
44978_50,2,13,[]
