v,re,rep_s,rep_ra,att_s,att_ra,c_d,rep_s_att_s,rep_ra_att_ra
1.3323457579128402,0.6461434455588461,2.8077242190483997,0.375884617725387,0.645807707565837,0.7128065848723051,0.44301604992671473,4.347616459443024,0.5273304507880275
1.40173902148381,0.483154258038849,2.51826670242008,0.356820556940511,0.5621248172828929,0.67841131943278,0.46457456001647385,4.479906641717877,0.5259649223406957
1.59793078238145,0.332888674736023,2.5429261660901803,0.3794256675522771,0.8550814604386691,0.606144512165338,0.47480457389565184,2.9738993110499936,0.6259656895957858
1.5645973404869398,0.3886838057078421,2.52289714454673,0.38124393965117603,0.5013248866889629,0.732444381387904,0.5161500161491708,5.0324594121177375,0.5205090643589337
1.4587223531678302,0.484791965875775,2.5383267288561897,0.4939852961804721,0.8527830378152429,0.6831311863381422,0.7190489536653772,2.976521127060836,0.723119228136007
1.56479088412598,0.402346522547305,2.72917257517111,0.404699409333989,0.576918451464735,0.638832357758656,0.6588057139074818,4.7306037243947205,0.6334986079194193
1.58900847667828,0.36120292479172295,2.77279788278975,0.477718169474974,0.6694858303526421,0.64437885642983,0.7912966349136643,4.14168270197626,0.7413622664805659
1.3203796147368798,0.5253528968431049,2.9622932946076603,0.4641774183604871,0.686026707058772,0.758096618857235,0.6876868510156036,4.318043691488355,0.6122932180599806
1.36061913464218,0.680856439564377,2.70928901527077,0.320701861241832,0.8572781224502249,0.685620863223448,0.14769406847855732,3.1603384529716325,0.4677539416377318
1.31031750384718,0.522672967333347,2.66898618300911,0.37548258760944003,0.988083398086019,0.699972486542538,0.20771515937713297,2.7011750103069314,0.536424780728323
1.53697973545641,0.454914898984134,2.7809921925654604,0.42729020453989497,0.8772487791720781,0.679012677958235,0.5246738421235329,3.1701294531182818,0.6292816296519533
1.54263920634985,0.485715116374195,2.7918589930050097,0.354650978837162,0.696938211447559,0.711700311815366,0.34755072670694703,4.005891694769104,0.498315053329874
1.3546021912246902,0.580152639467269,2.9743760728742896,0.38179884301498496,0.82388573163189,0.7362733017187572,0.3285167679148333,3.6101803425857035,0.5185558706579655
1.3908834901638305,0.342679653316736,2.88316900422797,0.39155948502011606,0.5241966841276741,0.6457165593281391,0.6583964187425578,5.500166428992027,0.6063952973848609
1.5252873252145902,0.529340845905244,2.64388014690485,0.42358448361046597,0.502068177447654,0.7934782485477629,0.5856304071323434,5.265978338530533,0.5338325081824452
