SimulationId,cohesion_degree,average_speed,average_direction
12933.0_1,"[2.77940210729,2.74992050674]","[2.80950626481,2.79156678293]","[2.80565602122,2.78379705793]"
12933.0_2,"[2.83053487752,2.8357357655]","[2.81622090909,2.80271322069]","[2.81363795901,2.7991317166]"
12933.0_3,"[3.1251619829,3.11331179395]","[2.81495712554,2.80032003582]","[2.8118783927,2.7953351737]"
12933.0_4,"[2.68223930869,2.68778493316]","[2.81064555608,2.79323126871]","[2.80792281827,2.78889375041]"
12933.0_5,"[2.83684765252,2.81886379116,2.77801509775]","[2.81153608765,2.79421304562,2.76888269912]","[2.80898445371,2.79013081768,2.75896901815]"
12933.0_6,"[2.58370584496,2.56557550009]","[2.80465765329,2.77816770117]","[2.79806813502,2.76435617627]"
12933.0_7,"[2.96708052254,2.95339291694]","[2.81291114521,2.79820727596]","[2.80900627494,2.79185795132]"
12933.0_8,"[2.73670844854,2.71361687498]","[2.81195386618,2.79548037976]","[2.80645233167,2.78776654565]"
12933.0_9,"[2.9379858311,2.94355800184]","[2.81474287224,2.80109707648]","[2.81169940615,2.79639111645]"
12933.0_10,"[3.0970234111,3.09128480495]","[2.8124487743,2.79591031944]","[2.80942502226,2.78987127356]"
