SimulationId,cohesion_degree,average_speed,average_direction
537.0_1,"[0.0638782507866,0.0680819777963,0.0447752371949,0.0484541973408,0.0413228756128,0.0332033518086,0.0373009135463,0.0381165943965,0.0427966111139,0.0385552242271,0.0390507257203,0.0393564108792]","[1.70228831313,1.66724357611,1.6636434578,1.66391644558,1.67509818301,1.69933755889,1.66449184874,1.65754380054,1.65271077627,1.64722357609,1.6486482856,1.65620856609]","[1.66271345244,1.65622375682,1.65063491598,1.64598515279,1.64205568539,1.63879820104,1.63606473515,1.63373563988,1.63175788879,1.63004966349,1.62854746876,1.62710683552]"
537.0_2,"[0.0618000626886,0.0381883159785,0.0558636495976,0.0476707519492,0.0354097249524,0.0323638711712,0.0387666402535,0.0409148019866,0.0428380116455,0.0418893689385,0.0428809693996,0.039921084213]","[1.67355214744,1.70469282892,1.66960545994,1.67154253197,1.68402822286,1.66482351763,1.66096140482,1.65050414965,1.64254637075,1.64432021814,1.64407906436,1.65783256]","[1.66381509485,1.65708026383,1.65126258817,1.64634931094,1.64223437046,1.63878778146,1.63589529188,1.63345166332,1.63137125485,1.62958439516,1.62803343376,1.62666214751]"
537.0_3,"[0.0861150731398,0.0674528936184,0.0377803985566,0.0494925020778,0.0427196270619,0.0472701517172,0.0445868557862,0.0351824644239,0.0390466600795,0.0403925027722,0.0408242110679,0.0440944964936]","[1.69028953256,1.6831546462,1.69096647705,1.6807916324,1.66923751335,1.65406614283,1.65823326195,1.67741914129,1.66853724333,1.66970699354,1.66008094454,1.64634918158]","[1.67158971752,1.66459736085,1.65861266949,1.65348311747,1.64915618206,1.64553272342,1.64248413324,1.63988055607,1.63763194037,1.63569825587,1.63399780771,1.63245399814]"
537.0_4,"[0.0646365200781,0.0424774984647,0.0497451029467,0.0412189280899,0.0509765134961,0.0428916552495,0.0407042216564,0.0374375860912,0.0363694406496,0.0346117173609,0.0396462903921]","[1.69565747276,1.66834585668,1.66297260876,1.65818184832,1.6564078735,1.66313517458,1.67517351541,1.67165802123,1.6545977835,1.65183787004,1.64769818988]","[1.66274856069,1.65626011168,1.65063212375,1.6458616566,1.64185445471,1.63849789079,1.63567393158,1.63328421782,1.63124883027,1.6295019857,1.6279777116]"
537.0_5,"[0.0608169001373,0.0579853838643,0.0459779907977,0.047402006883,0.0329219584317,0.0422432714835,0.0438470929253,0.0401541588148,0.0375147328027,0.0362125574782,0.0395575073271,0.0381064815409,0.0363579751016]","[1.68980904717,1.68623179946,1.65782177497,1.66339329809,1.70499189929,1.67267133828,1.65702442669,1.65437445925,1.65489945251,1.66204447187,1.65627785678,1.64761678369,1.65811569413]","[1.66376879395,1.65746399324,1.6519685286,1.64731750867,1.64335527976,1.64003589733,1.63722669581,1.63482716768,1.63277484958,1.63101460115,1.62946490308,1.62812777706,1.62692213962]"
537.0_6,"[0.0617039293521,0.0525188653573,0.0395638670803,0.0414521006393,0.049373794592,0.0484983182912,0.0340676611188,0.0369678193565,0.0335337841189,0.0379788318897,0.0388351124598]","[1.69944839325,1.69216386311,1.68381978666,1.67366631058,1.65603631844,1.64553016121,1.65762813691,1.66720857723,1.66396222084,1.65632474398,1.66466728996]","[1.66614872603,1.65954081156,1.65375141787,1.64888730127,1.64476397205,1.64129480195,1.63835606619,1.63587245614,1.63372446297,1.63186598277,1.63020986629]"
537.0_7,"[0.0979247526913,0.0764211613519,0.0714099461113,0.0353968865986,0.0550767954788,0.0350225206667,0.0403621709848,0.0392427003612,0.0357305466658,0.0421539398956,0.0367455294868,0.0390139154178,0.0377132221158]","[1.67534693012,1.69663252412,1.66659688466,1.71611750648,1.66221364625,1.67139956694,1.66978387106,1.67480850217,1.66597367198,1.65180418357,1.65914987339,1.65406718102,1.65218788069]","[1.66831558953,1.66185444365,1.65623806592,1.65138881106,1.64727638476,1.64379511948,1.64083595208,1.63829168643,1.63612237599,1.63421589953,1.63255011573,1.63106653015,1.62962772857]"
537.0_8,"[0.0508271561037,0.0545105103679,0.0416369784579,0.0457281680873,0.0422650428361,0.0390368619203,0.0381710990909,0.0403763613032,0.0385564251736,0.0423521250482,0.0448323675437,0.0426059640493]","[1.68014832825,1.67054754346,1.67794340857,1.68007540521,1.67031208449,1.68002740081,1.66623540869,1.65175542462,1.64471975111,1.64193019285,1.64231929733,1.63960209177]","[1.66373292882,1.65701667208,1.65121881649,1.64632189973,1.64226282409,1.63888636729,1.63607089254,1.63370112706,1.63168452117,1.62997467484,1.62846548405,1.62711203897]"
537.0_9,"[0.0877280340782,0.0770095291795,0.0534117356701,0.0349381280982,0.0503927151857,0.0304439115827,0.0477774801358,0.0466585570102,0.0442281560087,0.0365691036644,0.039257592044,0.0379003890299,0.0377170554543]","[1.68421636081,1.68056629813,1.68257409878,1.72764621643,1.66588136059,1.662332984,1.64636268792,1.6493613884,1.65686968256,1.66967550232,1.65234433185,1.64735867221,1.65443561259]","[1.66199318602,1.65572369902,1.65042456019,1.64597206606,1.64230445472,1.63922703377,1.63660814399,1.63441032327,1.6325044202,1.6308677792,1.62941942757,1.62815729214,1.62694341055]"
537.0_10,"[0.0775314570868,0.0496564830715,0.0466292724856,0.0501196257349,0.0493264592841,0.0331162241558,0.0384596383172,0.0371242794858,0.0401470482933,0.0366419043335,0.0408399206961,0.0399124671732]","[1.68451384958,1.68849739484,1.71063926852,1.67348231142,1.67172041391,1.69152565671,1.66899675367,1.66755971379,1.6557739556,1.66314230749,1.65820245718,1.6436014786]","[1.67340443631,1.66619630151,1.65996021728,1.65464696182,1.6501448057,1.64635920792,1.64310448085,1.64034400838,1.63797810078,1.63589371557,1.63408276938,1.63245780332]"
