v,re,rep_s,rep_ra,att_s,att_ra
1.429325862322,0.81358254160732,2.89003135147505,0.436230306467041,2.79971450218,1.65619446439669
2.99923188844696,1.13839948787354,3.94062705012038,1.08225206518546,1.10796147631481,1.09301843163557
1.22462921543047,0.343582414556295,2.10394965484738,0.867318883864209,1.56533529818989,0.975359080219641
2.7125484412536,1.62677436145023,2.83707426022738,0.463726691389456,1.41336522740312,0.64060958204791
1.23519613826647,0.299997529760003,2.36395228817128,1.6350015535485,1.37992216926068,1.98379985317588
1.61756409751251,0.366385062783957,1.35880645504221,1.07753149718046,2.06937270821072,0.534193099476397
1.15910873422399,0.823726092837751,3.16229492519051,0.3161875680089,1.00683770515025,1.15963393356651
2.63465536432341,1.55493900878355,3.86338487244211,1.48503367649391,1.00843043648638,0.414077427983284
2.78517828788608,0.88583359643817,2.66702630463988,0.774926623236388,1.89159197127447,0.341658509196714
2.90761715220287,1.75109200170264,3.80470778397284,1.64193717986345,3.32979657594115,0.224562598532066
2.15585607057437,1.00196456103586,3.09329586103559,1.79580755578354,1.48095370735973,1.09809522884898
1.8221859051846,0.513971033459529,2.16059592133388,0.677817309973761,2.19064274127595,1.8992774058599
1.50558935292065,1.92196425725706,3.34482599119656,0.66572008295916,2.47279374138452,1.36848618830554
1.69122876925394,0.685947846155614,1.60514992987737,1.766162020294,2.12898779590614,1.97025664099492
1.49137574527413,0.79037192184478,1.78972764429636,0.790343865938485,1.94667867710814,1.30126294014044
1.73535292223096,1.37071213051677,1.84508553962223,0.360043322388083,1.23628782294691,0.202300976170227
2.39648861344904,1.83989660996012,3.97567576309666,0.421469725109637,3.51131922914647,1.00394327566028
1.22090629348531,1.31431511193514,2.77844099653885,0.913422530563548,1.08960837591439,0.914160116249696
2.52342063933611,0.60176683566533,1.21207920461893,1.68587441849522,1.97809232422151,1.74407228394411
1.51766615035012,0.20093016535975,3.18884777883068,1.47136506098323,2.23655038094148,0.961143431533128
1.63063132483512,1.71177770327777,1.12382662808523,0.608345855167136,3.23567130137235,1.84745695460588
2.45142276119441,1.78487748615444,3.30398510373197,0.575994068011642,1.61049598804675,1.80371753559448
1.08223586902022,1.15013123205863,2.09220221987925,1.59953516558744,3.2868748405017,1.64846009132452
2.35214620735496,1.36369252591394,2.37671062885784,0.311838104156777,1.50288740661927,1.82303712251596
1.59352567372844,1.38785414844751,2.81207692087628,1.85922083207406,3.91005857335404,1.8116784166079
1.77583289099857,1.04993266277015,2.1400879251305,0.507269437843934,3.26961419126019,1.40622690301388
1.24830819806084,1.60821434594691,2.13116252119653,0.279057516856119,3.69034464936703,1.25875286762603
2.66679269867018,1.65074214660563,2.65534071973525,1.58801882667467,2.33956232527271,1.5360162647441
1.74089175881818,0.763844727165997,3.40827724826522,1.75262782913633,1.6151091682259,0.672794624650851
1.65766574116424,0.506405079644173,2.13081867876463,0.313037841161713,2.03501499095,1.38803369593807
2.66600214643404,1.31930180201307,1.56399095547386,1.4447116763331,2.71583768562414,1.15192594714463
2.91481958562508,1.95543798310682,1.25143532175571,1.8600792022422,3.8723216932267,0.436201087571681
1.16950295493007,1.9923166945111,1.85093789827079,0.821071838727221,2.47116020834073,0.98920166422613
1.55847435677424,0.492524220934138,2.72324469941668,1.09195577185601,3.75014207907952,1.89810883151367
2.03868018882349,0.479885410657153,1.36880359845236,1.50856720656157,3.00117869139649,1.30794883351773
1.83902831142768,0.917041273508221,2.38101205113344,0.754096816433594,3.62224292103201,0.443258699914441
2.49193074228242,1.24015817116015,3.65931413485669,1.06667571803555,1.57657416397706,0.250526861241087
1.48101665452123,0.959794163890183,1.50263731158338,0.580605494836345,2.63436837447807,0.316693254932761
1.49361567758024,0.873344551911578,3.70705307857133,1.70929574798793,2.09935249527916,1.57254522657022
1.86731424555182,0.904629740631208,1.62303006951697,1.09253592696041,3.35773173184134,0.335936845233664
1.39454998914152,0.264641038188711,1.70736281201243,0.27502775429748,2.75681122089736,0.244758606050164
1.1313326023519,1.26196545287967,3.60953131015413,1.20144913080148,2.92658631619997,1.34475950021297
2.2549227126874,0.529649378312752,1.25985872722231,1.97859880891629,2.91881117620505,0.791440578037873
1.59894718881696,1.12106398208998,1.5313843274489,1.49512428091839,3.34317291923799,1.92431128695607
1.97378574963659,0.692998719448224,1.90196953504346,1.18252901616506,3.78638683236204,1.25830315756612
2.09872331097722,1.0504161468707,3.85611913702451,0.396401684405282,2.9401809326373,1.73147501605563
1.62911340454593,0.573838617606089,2.29694783338346,1.33229364128783,1.22691463399678,1.71190320551395
2.22986206691712,1.42226606071927,2.1442908202298,1.52507453588769,3.07709521171637,1.66823590607382
2.13246234226972,0.639120253222063,3.17829295457341,0.616222216002643,1.99430951941758,1.80024482132867
2.49414087506011,1.63098271847703,2.71291872137226,0.842066526785493,3.92366940458305,1.22639389215037
1.58202502457425,1.39478969094343,2.90324674197473,0.967992572532967,2.65376260923222,0.635701306769624
2.7975622699596,1.86143006202765,3.14275324437767,1.45260769734159,2.43728249333799,1.5799083580263
1.61935700336471,1.63905403483659,1.26706295902841,1.15228078663349,1.7555323515553,1.15468633710407
1.56696519395337,1.51175607061014,2.47931142686866,0.749705232260749,1.96992006222717,0.410718160681427
1.28329166071489,0.658779564546421,3.8144649695605,1.16865710974671,2.54282731260173,1.11552527956665
2.20202974230051,1.25510091935284,1.76268196897581,0.512311604805291,2.35093175177462,0.45021761241369
1.99931310908869,1.43129498562776,2.70033859740943,0.43923950525932,1.88591356365941,1.86703272098675
1.91287623718381,1.5926389505621,3.51118114287965,0.621100572077558,1.1995458251331,1.59083436871879
2.10765056544915,1.35904257167131,2.81484542926773,1.7954482998699,2.50096440711059,0.742818454839289
2.8433815552853,0.503118754178286,1.01176111702807,0.543604455003515,1.00958314514719,1.43261781549081
2.74807264655828,1.70152735277079,3.19563063350506,0.932206173986197,2.69595291675068,0.687947088479996
2.72023698827252,0.642289464641362,3.50931949913502,0.91217931075953,3.0202550040558,1.74841036642902
2.45171473361552,1.78279144545086,2.46605842537247,1.22959917970002,1.27171941706911,1.34930345858447
