v,re,rep_s,rep_ra,att_s,att_ra,cohesion_degree,average_speed,average_direction
1.0,0.2,1.0,0.2,1.0,0.2,1.49454794706,1.00063319287,0.999588929557
1.0,0.2,1.2,0.2,1.0,0.2,1.51276122504,1.00064920083,0.99966627973
1.0,0.2,1.4,0.2,1.0,0.2,1.52724570063,1.00067957558,0.999720977039
1.0,0.2,1.5999999999999999,0.2,1.0,0.2,1.53559931126,1.00068365794,0.999741511583
1.0,0.2,1.7999999999999998,0.2,1.0,0.2,1.5426318501,1.00068902848,0.999756087044
1.0,0.2,1.9999999999999998,0.2,1.0,0.2,1.5487212929,1.00069975334,0.999769907471
1.0,0.2,2.1999999999999997,0.2,1.0,0.2,1.55413123027,1.00070980558,0.99978225341
1.0,0.2,2.4,0.2,1.0,0.2,1.55903388955,1.00071771035,0.999792834883
1.0,0.2,2.6,0.2,1.0,0.2,1.563538468,1.00072377011,0.999801848952
1.0,0.2,2.8000000000000003,0.2,1.0,0.2,1.56771912103,1.0007282755,0.999809412341
1.0,0.2,3.0000000000000004,0.2,1.0,0.2,1.57162921115,1.00073162539,0.999815808185
1.0,0.2,3.2000000000000006,0.2,1.0,0.2,1.57530868235,1.00073406728,0.999821217715
1.0,0.2,3.400000000000001,0.2,1.0,0.2,1.57878842307,1.00073586231,0.999825867028
1.0,0.2,3.600000000000001,0.2,1.0,0.2,1.58209294273,1.00073704544,0.999829775198
1.0,0.2,3.800000000000001,0.2,1.0,0.2,1.58524220685,1.0007377382,0.999833058943
