SimulationId,cohesion_degree
2.0_2.1_2.0_2.1_1,"[1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.8707005662566192,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619,1.870700566256619]"
2.0_2.1_2.0_2.1_2,"[2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957,2.5921961878908957]"
2.0_2.1_2.0_2.1_3,"[2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056,2.457324822558056]"
2.0_2.1_2.0_2.1_4,"[3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035,3.2767735626188035]"
2.0_2.1_2.0_2.1_5,"[3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109,3.671679111064109]"
2.0_2.1_2.0_2.1_6,"[3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455,3.2926499814196455]"
2.0_2.1_2.0_2.1_7,"[3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715,3.1593696097235715]"
2.0_2.1_2.0_2.1_8,"[2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596,2.8978097046852596]"
2.0_2.1_2.0_2.1_9,"[2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132,2.3552090121551132]"
2.0_2.1_2.0_2.1_10,"[2.328150120330053,2.3281501203300508,2.3281501203300494,2.3281501203300468,2.3281501203300445,2.3281501203300428,2.328150120330041,2.328150120330039,2.328150120330037,2.3281501203300348,2.328150120330033,2.3281501203300308,2.3281501203300285,2.3281501203300268,2.328150120330025,2.3281501203300223,2.3281501203300206,2.328150120330019,2.3281501203300166,2.3281501203300143,2.3281501203300126,2.3281501203300103,2.3281501203300086,2.3281501203300063,2.328150120330004,2.328150120330002,2.32815012033,2.3281501203299984,2.328150120329996,2.3281501203299944,2.328150120329992,2.3281501203299904,2.3281501203299877,2.328150120329986,2.328150120329984,2.328150120329982,2.3281501203299797,2.328150120329978,2.3281501203299757,2.328150120329974,2.3281501203299717]"
