SimulationId,cohesion_degree
2.0_0.2_3.0_1.5_1,"[2.470895754814523,2.055425332171098,1.083190087090641,1.162118562940932,1.5776886714411833,1.7977861563994018,1.7694426956514753,1.5229994164978962,0.8696260039495565,1.2843651881821956,2.2673705299498517,2.4917991467144596,3.2261491752052684,3.6229019327861565,3.9453757744371147,4.431234318681189,4.953732645594587,5.449341461430285,5.881853610550094,6.38159401610705,6.869498917308638,7.366164529042981,7.825645677425067,8.313795489563082,8.783301549600516,9.271477757189361,9.75300537489573,10.247963548264316,10.726529388020982,11.215429108544228,11.707426376914375,12.176137218432295,12.670866342063338,13.156782094815412,13.623026943732484,14.12628240022355,14.588720122285675,15.136204447068149,15.59781656551824,16.064559239746636]"
2.0_0.2_3.0_1.5_2,"[2.5011619398500162,1.9492717245446236,0.5475453493213758,1.9586411839193694,2.406140950021257,2.4867824137611003,1.9290634087008258,1.542169085455351,1.7315252921282558,1.5795167607035063,2.4637123615944296,2.799416059174662,3.0138783668002156,3.031030151747136,2.756363080621123,2.0690458376859278,1.7029365070014204,1.5568490423859305,2.449870326806601,2.87804508512191,2.948677229485827,2.815957319584335,2.498080838401633,1.5134380685781532,0.9381643462460783,1.9660607657645062,2.519777112490479,2.9331267766455555,3.588872494042416,4.194540166988976,4.82757421238226,5.458744871275023,6.068836556078359,6.705619396858287,7.3417397957500965,7.966984586398032,8.623695062406217,9.22654275080554,9.871990809858108,10.499367881423527]"
2.0_0.2_3.0_1.5_3,"[2.4064203792114682,1.8623314029221514,1.2008683652745664,1.283947224630627,1.70927128673164,1.9122772446328267,2.021244462835658,1.979495065561191,0.8976903189101529,1.4624382158535796,2.1573790173004506,2.1530565040582523,1.5748615652056244,1.5992358987813076,1.383211847855715,1.5457129366611972,1.4981206057512133,1.8720472284308147,2.5745259375242595,2.506550091219059,1.9806216211257444,2.0323101949978044,1.978469905851243,1.2399879735218633,0.9909040960212208,1.7873223622965448,1.8601600649087338,2.314079943410455,2.3173264592572513,2.5940549810581794,2.5309026560831853,2.6418672311406026,2.5848479874153907,2.52125151474283,2.481225483935532,2.3778926529671613,1.9951141575025961,2.053729970102554,1.082613950525125,1.0864535752809161]"
2.0_0.2_3.0_1.5_4,"[2.293888539597076,1.6734737723882573,0.854931553864934,1.993812345651002,2.304478123927618,2.2921716733509805,2.68677911205222,2.9488643009482267,3.1542029958671103,3.5169957349281566,3.705017394036248,3.9873521054302414,4.230484708070092,4.561363918900335,4.721796003281416,4.977197886210513,5.210403591501629,5.483582203994788,5.70539836568386,6.029765565619558,6.191459029301368,6.4538193476386825,6.759281350516328,7.0315406397034605,7.2613138125218395,7.57716998510989,7.876614767784527,8.062325447901939,8.344876841254003,8.604368418750264,8.845107262715414,9.148982627447825,9.372214612950003,9.666507617291519,9.91624288800195,10.17854781503892,10.444453734637678,10.73128556007163,10.995540360369883,11.246260206447587]"
2.0_0.2_3.0_1.5_5,"[2.27433874059384,1.723519732133769,1.20808586245275,1.3792746698581562,1.5239678470700133,1.4593751017887173,1.1785962438327038,1.296377065346388,1.6209068959539035,1.7288668282282589,1.8320859165222552,1.1635630988458594,1.0459293167282702,1.886901813261766,1.9218499806388298,2.2021494417258607,2.5930050420802533,2.0565049479950908,2.122605726761263,2.0268309529151183,1.5171425400017893,1.3472438559180044,1.441707710666872,1.5165603576434088,0.9467959120737971,1.465284216030233,1.3312907410182426,1.5741274085877024,1.273606103514472,1.2705237234993374,1.6493178275112528,1.5677632448229772,0.8450884214531478,1.5551334629664495,1.3005721070856227,1.5866333210511039,1.1456452961982957,1.6720922591948508,1.3188199937134761,1.0093989011056532]"
2.0_0.2_3.0_1.5_6,"[2.7981308861894507,2.4651854693943003,2.0323949523563756,1.4826303856308907,1.369888653597615,1.881500116792516,2.626160277145131,2.8287001779807057,2.6014615950926645,1.787644837223835,0.6363049207355491,1.8394846692293918,2.349700715100701,2.268559812948685,2.8271348809964834,3.2345044256135935,3.37039661317991,3.2615624001755066,3.3326557068505345,3.42097617524131,3.898302223874274,4.001155236755358,3.9288623284401716,4.1100221493280475,4.28734389760548,4.537301657115463,4.618422797863133,4.7937341783995775,5.1459268785172245,5.258740755538885,5.228335608320308,5.762414110431168,6.084683203701838,6.369867244029814,6.530504289729526,6.631942440384718,6.6694092345654665,6.647330873998037,6.614339389471246,7.013661674735329]"
2.0_0.2_3.0_1.5_7,"[2.045070001274778,1.4526002168708225,0.6432167390827904,1.6425653342423043,0.9490872281542557,1.160879962862868,1.2829134686861843,1.580266482796822,1.193190767980641,0.9234696699848103,1.4847519358880845,1.7663671794072928,1.8812962454599962,1.7952401870727388,1.3199328454552985,0.7773116412752397,1.3970582176928428,1.7416324994084444,1.5848026147751804,1.2529176570454523,1.0387943493624268,1.6432869580590008,0.9741848015306231,1.2857263220292943,1.8306889348950317,1.3235622362993227,0.8561788854482764,1.4298161682716166,0.9826434387106902,1.1847067114288932,1.6217921839074088,0.9430012465121436,1.2429201804649126,1.5127323208373793,1.9233608551538612,2.020432150872527,2.2830254554515057,2.009198941399102,1.9493105300395528,1.484127302335002]"
2.0_0.2_3.0_1.5_8,"[2.3274161977365626,1.676380277849281,1.123314215591787,1.4911941421321098,1.9140002085864136,2.0525485356523574,2.3037009631040406,2.1144799317327045,1.915039517866941,1.633713124338951,1.4363434172291272,1.3843608253356692,1.268288761568974,1.8614260425557405,1.9938136413837326,2.1406532884838496,1.3495092571520355,1.1121051709892904,2.076251632148796,2.310093755295631,2.759243756006298,3.157414563907785,3.5834205380543565,3.9870982192142654,4.277782324332788,4.703006707415379,5.035977134797228,5.452682053974953,5.872653541987599,6.233183735555541,6.595866897968376,6.993189462676376,7.372771372437148,7.775977843845753,8.164657000933058,8.567767918544877,8.933781763365392,9.339019468376076,9.743789647976747,10.116405402549393]"
2.0_0.2_3.0_1.5_9,"[2.5183113528088295,2.0184765602559493,1.104393755116019,1.4445718196156112,1.9096170717372298,2.3885100184131502,2.5240581769589108,2.0970375653932285,1.8155476067268732,1.3757095891630402,1.3872329406824198,1.8099407384504584,2.0324460524338432,2.250193605437297,1.9998337649097422,1.6447847125369748,0.9710340548910523,1.475484219073109,2.148893270205318,2.577516295507295,2.6358016134343467,3.065520816564365,3.4136090517547615,3.493424780344255,3.985663590946179,4.150331178357023,4.49410967151236,4.700162947386949,5.0600354097623805,5.3119422355174475,5.6507501313905495,5.952494255205989,6.232269338284286,6.611255608531141,6.769417183812105,7.185867568736294,7.495255728983653,7.6964106563083305,7.980658438035951,8.280419920866661]"
2.0_0.2_3.0_1.5_10,"[2.1843297836289266,1.7501926105868306,0.6068919696287438,1.5027412470352115,1.451843885639999,1.712543095865891,1.4896253220260232,0.7095328336963089,1.5553479890109294,1.8889204041290764,2.443904119166762,2.549134412122255,2.977947118660146,3.097758208100258,3.330529135004798,3.5837486170281148,3.8460350321187646,4.102879861146394,4.281076166580926,4.553112286307297,4.783479829920964,5.0097995634146715,5.24091734216498,5.489820147179262,5.734193053753273,5.95358653132069,6.277755701196819,6.403013074495481,6.767737023683694,6.924901569734757,7.152428304365012,7.3699789162311,7.630334578074415,7.836069771944881,8.081715846564398,8.358899567868223,8.56450293496712,8.79858540568961,9.052667426631809,9.291186955273009]"
