SimulationId,cohesion_degree
1.5_0.2_0.5_1.0_1,"[1.3354646990864303,1.3033145722562254,1.2031518108166896,1.0193857651704574,0.7143169482104498,0.27432439716419127,0.5801313921100053,0.9378921836298479,1.1547098200245762,1.2791679522091095,1.3321446123657292,1.321028011473674,1.2443347491515198,1.0908397415454907,0.8321289304919788,0.41238016559351715,0.4228345187020888,0.8391103782088593,1.0950709355966504,1.2467138389721977,1.321930670780047,1.331692581056206,1.2773015807291106,1.1511536708124945,0.9319700374244551,0.5704339571794373,0.2805070264210898,0.7225593742649015,1.0243842771855447,1.2060825289881434,1.304680574564218,1.335457058810028,1.302575673668323,1.2015780715451827,1.0167058110889418,0.7098976170766385,0.27129583759953535,0.5852523718501308,0.941016013757134,1.1565841689343994]"
1.5_0.2_0.5_1.0_2,"[2.473445793688575,2.470173109561023,2.4603772367650056,2.4439286843163597,2.4206041921222345,2.3900742198152676,2.3518833495932263,2.305420980179754,2.249877973334921,2.1841820041551196,2.106899162875327,2.0160795399539584,1.9090048663188401,1.7817540163083692,1.6284030913658882,1.4394176515026098,1.1980157477539546,0.8705886043938807,0.3922943870063297,0.46219993367391854,0.9195054565563618,1.2328945500709563,1.4661881004488035,1.649861513119871,1.7994226655161192,1.9238013626245185,2.028597987467339,2.117544681882038,2.1932416560406187,2.2575610009536726,2.311882978166557,2.357241444966574,2.3944169399348527,2.4239980392986356,2.446422576341968,2.462005501234857,2.4709574477444054,2.4733964637011248,2.469354344940564,2.45877831185041]"
1.5_0.2_0.5_1.0_3,"[2.5336765472112446,2.530775635501273,2.522096877509011,2.5075388107885876,2.4869272093984156,2.460006507053736,2.426426537385692,2.3857230530716995,2.3372895520099863,2.280336426878327,2.2138308874123416,2.1364065405993764,2.0462229858678866,1.9407389155193888,1.8163265198229444,1.6675729658059826,1.4859055591324273,1.2565682994143428,0.9509153255013044,0.5075802237377923,0.34820230416939313,0.8380523857355404,1.1759951172134737,1.4239385402748042,1.6177625824013113,1.7751627873828932,1.9061054310299514,2.0167483426457213,2.1111540992927913,2.192135243750657,2.2617106003358027,2.3213691855541816,2.3722312951842683,2.415151123776379,2.4507843783391947,2.47963397927039,2.5020814800008813,2.518408808196192,2.528813171586397,2.5334169004784624]"
1.5_0.2_0.5_1.0_4,"[2.2800708013056195,2.2752503084390634,2.2607915169451536,2.2364102344592736,2.201608032727015,2.1556295195983424,2.09739159830262,2.0253693860241375,1.9374101282815488,1.8304192057630664,1.6998018638493289,1.538396310511636,1.3342246513783684,1.0650738803077582,0.6836618955126268,0.23827667480403028,0.6814774740986884,1.0635989026014796,1.3331366968930514,1.5375499524068017,1.6991231402079117,1.8298656524375527,1.936955263676729,2.024995723056046,2.097087126992347,2.1553857854377774,2.2014190214048357,2.2362716965802343,2.2607005496286914,2.2752050972913467,2.280070470557697,2.2753904576765303,2.2610748604412123,2.2368424215224114,2.202198114053279,2.156390751083174,2.0983427447692513,2.026536825152105,1.9388313242774735,1.8321486915883072]"
1.5_0.2_0.5_1.0_5,"[4.371021268508491,4.370947778571513,4.370728742649488,4.3703640969642095,4.369853735277257,4.3691975087661135,4.368395225850376,4.367446651967654,4.366351509298574,4.365109476440239,4.363720188027291,4.36218323429964,4.36049816061575,4.358664466910268,4.3566816070945995,4.354548988398871,4.352265970653603,4.349831865509201,4.347245935591202,4.344507393589065,4.341615401276028,4.338569068457397,4.3353674518444105,4.33200955385054,4.328494321306864,4.324820644092933,4.32098735367914,4.316993221576435,4.312836957688788,4.3085172085635595,4.304032555534394,4.299381512751087,4.294562525090208,4.289573965939886,4.28441413485174,4.279081255052212,4.2735734708051005,4.267888844616406,4.262025354271898,4.255980889697042]"
1.5_0.2_0.5_1.0_6,"[2.2552746010804605,2.2502086072050393,2.2350084337671996,2.209359628313438,2.1727091806834915,2.1242153982730363,2.0626641752199455,1.986332296842844,1.8927608521278887,1.778364878393172,1.637720393085167,1.4621525768764934,1.2366129944310327,0.9316769553528996,0.48503746389422986,0.36863301145257743,0.8500332132857341,1.1788485950073373,1.418303028697758,1.6030882657973975,1.750399101053356,1.86993049802736,1.9676538208770398,2.0474754846139573,2.112057119679386,2.1632577523697045,2.2023876795837873,2.230360619832129,2.247786832499237,2.255029409851322,2.252235537292239,2.239348692076682,2.2161039909582354,2.1820058518428405,2.1362838227238186,2.077817736343519,2.005015407912605,1.9156110716176176,1.8063217562147122,1.6722290254617629]"
1.5_0.2_0.5_1.0_7,"[1.747044257557377,1.733003335659762,1.6903567507629753,1.6165178841683208,1.5064333423761131,1.3509774434969581,1.1331227568807223,0.8177116759455306,0.3468760608777298,0.5017127046683423,0.9257054601061891,1.2063605259949775,1.403011404186243,1.5435873255856516,1.6421077428768531,1.7062217340155947,1.740132320645337,1.7458479186154505,1.7236934625364784,1.672387889696931,1.5887302614478966,1.4667162691927706,1.2954909068648282,1.054325142626018,0.698979862314216,0.24641627772034788,0.643618993472142,1.0181096756487829,1.2702000517283822,1.4486149940163822,1.575960180158104,1.6639374910169158,1.7190022856202134,1.7446371291740765,1.7423334030155653,1.7119602730311265,1.6517335420470682,1.5577674322708075,1.4229453295230785,1.234294803328483]"
1.5_0.2_0.5_1.0_8,"[2.5931654076593054,2.5905901777904763,2.5828891260654165,2.5699824855030435,2.5517337692394797,2.5279438524208855,2.498341926661353,2.4625724135509683,2.4201764058559245,2.3705654007514765,2.3129837850125723,2.246454329422067,2.1696970709104924,2.081004805270391,1.9780444824486545,1.8575248840139342,1.7146060937040377,1.5417658540608292,1.3263887591169272,1.0448799570411078,0.6465553220111468,0.24452270125851286,0.7225375653380339,1.096558834489487,1.3649434011645316,1.5722315644041582,1.73954637231492,1.8784162778875402,1.9958134759695891,2.096269673088877,2.1828898092571727,2.257887542885141,2.3228898522300687,2.379120624866361,2.4275165384586064,2.4688029736552566,2.503545244534994,2.5321839743257035,2.5550599157119556,2.5724314971897178]"
1.5_0.2_0.5_1.0_9,"[3.482722006884564,3.482287649662697,3.4809924325127866,3.47883412157904,3.47580898154056,3.471911749646448,3.467135598848198,3.4614720894763025,3.4549111087260824,3.447440797016336,3.4390474600577523,3.4297154652092434,3.4194271204010604,3.4081625335536074,3.3958994500081308,3.382613064994014,3.368275807568252,3.352857091751177,3.336323029717393,3.3186361008422205,3.29975476910019,3.2796330396957614,3.2582199437894173,3.235458937648167,3.211287199342801,3.1856348020262195,3.1584237375748447,3.1295667575702866,3.0989659897044373,3.066511275956274,3.0320781632491585,2.9955254562265283,2.956692213062901,2.915394025580871,2.871418369463165,2.8245187315397717,2.774407107343808,2.7207442948704417,2.663127159695425,2.6010716622553787]"
1.5_0.2_0.5_1.0_10,"[2.9039031000965427,2.90252036162258,2.8983919465314494,2.8914950588457877,2.8817911922680266,2.8692252588321256,2.8537243109826838,2.8351957925369877,2.8135252262693737,2.788573209484176,2.760171539713727,2.7281182243395588,2.692171030932703,2.652039094483933,2.6073718894584625,2.5577445593130643,2.5026381070824875,2.441412171731828,2.373266836900933,2.2971877496204542,2.21186500019075,2.1155691539242345,2.005954088635386,1.8797278149080423,1.7320686654608903,1.5555068063554092,1.3375513222666062,1.0549125619612094,0.6576232499016329,0.24087783119396367,0.7148290506816427,1.0939650342626552,1.3668578316662021,1.5788456762841094,1.7513640804011215,1.8960890877785248,2.0200783807099323,2.1279228907803702,2.222775352733837,2.3068928402866504]"
