SimulationId,cohesion_degree
1.0_0.2_1.0_2.0_1.0_0.3_1,"[2.9432191471569786,3.013469791442576,3.07991906417882,3.1429480898570823,3.202884388725388,3.2600110602393366,3.314574228078007,3.366789069242363,3.41684470886464,3.464908211536155,3.5111278531597527,3.5556358183073256,3.598550436880489,3.639978049439285,3.6800145715776127,3.718746813005,3.756253595571599,3.7926067055819117,3.8278717087933813,3.8621086510381657,3.8953726630981245,3.9277144850441936,3.959180922523674,3.9898152452914966,4.019657536517953,4.048744999976591,4.077112231052547,4.1047914565599,4.131812747574431,4.158204208842549,4.183992147791999,4.209201225724351,4.233854593397059,4.25797401289064,4.281579967393485,4.304691760314817,4.327327604947885,4.349504705745459,4.3712393321329195,4.392546885667403,4.413441961251027]"
1.0_0.2_1.0_2.0_1.0_0.3_2,"[3.1634279602101443,3.2208009294963347,3.2757646234219537,3.328488895424151,3.3791284469977207,3.4278240578922095,3.4747038659067413,3.519884602994613,3.563472745376058,3.605565561711683,3.6462520569642947,3.685613816361557,3.7237257570000524,3.7606567957887824,3.796470442541146,3.8312253266020853,3.8649756647269404,3.897771677168616,3.9296599581654745,3.960683806297959,3.9908835195179195,4.020296659058295,4.048958285902157,4.07690117302548,4.10415599622178,4.130751505962943,4.156714682442894,4.182070875683704,4.206843932351699,4.231056310730002,4.254729185118841,4.277882540783088,4.300535260434026,4.322705203117165,4.344409276277197,4.365663501683388,4.386483075821762,4.4068824252929595,4.426875257695635,4.446474608423164,4.465692883755651]"
1.0_0.2_1.0_2.0_1.0_0.3_3,"[3.006038243640009,3.073855243953349,3.1382662320785273,3.1995836044358406,3.258079537577845,3.313992277932684,3.3675313590510307,3.418881916773075,3.4682082608379075,3.515656839005172,3.561358706293775,3.6054315908994616,3.647981630645895,3.689104839374397,3.728888351066157,3.7674114802274956,3.804746629698498,3.8409600711803433,3.8761126191011983,3.9102602147024266,3.9434544342278115,3.975742932682685,4.007169832676069,4.037776066271677,4.067599676479086,4.09667608395556,4.125038323616477,4.1527172551314,4.179741750684947,4.206138862883737,4.231933975274599,4.257150937590032,4.281812187543214,4.3059388607462115,4.329550890114957,4.352667095945189,4.37530526769131,4.3974822383489665,4.4192139522306455,4.440515526826621,4.461401309360647]"
1.0_0.2_1.0_2.0_1.0_0.3_4,"[2.6816902188900675,2.7673066730466993,2.8486349350701143,2.925914662193833,2.9993924193482653,3.0693151909069853,3.135923506336842,3.1994469431156736,3.2601015277109995,3.318088514833838,3.3735941068214403,3.426789778912382,3.477832970174549,3.5268679744817426,3.574026921270857,3.619430775145054,3.6631903105399815,3.7054070359836153,3.746174054573622,3.785576855102156,3.823694033156264,3.860597944475429,3.89635529451824,3.9310276690279276,3.964672010694426,3.9973410469913064,4.029083674052812,4.059945301136971,4.089968159851333,4.119191581933918,4.147652249004993,4.175384417347546,4.202420120443131,4.228789351686927,4.25452022943293,4.279639146275317,4.304170904254191,4.32813883748039,4.35156492350316,4.3744698845930925,4.3968732799799275]"
1.0_0.2_1.0_2.0_1.0_0.3_5,"[2.988039942377667,3.0479065561320846,3.104649292991803,3.1585778372707516,3.2099597704268548,3.259026880380868,3.3059807283222313,3.350997379904279,3.3942313592038587,3.4358189303498206,3.475880816402706,3.5145244544618714,3.551845871147701,3.5879312479636325,3.622858233140706,3.656697045764159,3.6895114091623107,3.7213593434303434,3.7522938412677957,3.7823634467569867,3.8116127530699315,3.8400828321758183,3.8678116072792457,3.8948341768325276,3.92118309743919,3.9468886317272025,3.9719789662609877,3.9964804037356485,4.0204175330188106,4.04381338004672,4.066689542118855,4.089066307751542,4.110962763931212,4.132396892340485,4.153385655906056,4.173945076828508,4.194090307094716,4.213835692338697,4.233194829801837,4.2521806210460085,4.270805319989319]"
1.0_0.2_1.0_2.0_1.0_0.3_6,"[2.9348555652757757,3.00632415999401,3.073820622178857,3.137743750433232,3.1984396770681327,3.2562090724086445,3.31131385886964,3.363983075312645,3.41441785447894,3.462795594003959,3.509273434668556,3.553991159044171,3.5970736111850394,3.6386327225703026,3.6787692146996904,3.717574035833528,3.755129578579119,3.791510716207886,3.8267856884609563,3.8610168618705494,3.8942613850244925,3.9265717555062762,3.9579963122697337,3.988579664807699,4.018363068531309,4.047384754197703,4.07568021793594,4.1032824773662515,4.130222298440599,4.156528396916689,4.182227617784494,4.2073450954711324,4.231904397238014,4.255927651839235,4.279435665219954,4.302448024788913,4.324983193591842,4.347058595536811,4.368690692672472,4.389895055392333,4.410686426328345]"
1.0_0.2_1.0_2.0_1.0_0.3_7,"[2.88480019145577,2.9615937899981644,3.0342589536595934,3.1031744518000375,3.1686746026311337,3.2310544848118226,3.290574938553637,3.3474670888984073,3.401936317306294,3.454165695115089,3.5043189282734653,3.55254287386094,3.598969688590299,3.6437186643245867,3.68689779884062,3.728605143147776,3.768929960285675,3.807953724916144,3.845750988229095,3.8823901286440448,3.9179340054190517,3.9524405294799747,3.9859631634638077,4.018551361049414,4.050250954057516,4.0811044944816,4.111151557513868,4.140429010715975,4.168971253720698,4.196810417679557,4.223976084304417,4.250496126707946,4.276397022470201,4.301703658493964,4.326439449378602,4.35062645070623,4.374285461733319,4.397436118615023,4.4200969791841365,4.442285600181284,4.464018607724389]"
1.0_0.2_1.0_2.0_1.0_0.3_8,"[2.544348343135447,2.629863842550346,2.709859565376669,2.784973033625854,2.855739985159612,2.9226145264830086,2.985982668491456,3.046175240050394,3.1034779812476274,3.1581394556673863,3.2103773038014025,3.2603832297486277,3.3083270140083223,3.354359771316831,3.3986166181001862,3.441218874124705,3.4822758934212152,3.5218865976601608,3.5601407687856215,3.597120145383208,3.6328993578881033,3.667546730563879,3.7011249726416606,3.733691776696465,3.765300338954939,3.7959998135558024,3.825835710657786,3.8548502465859142,3.8830826528335463,3.9105694496232615,3.937344688820821,3.963440170250627,3.98888563484618,4.013708937559611,4.037936202529856,4.061591962654437,4.084699285411662,4.107279886528765,4.129354232878857,4.1509416358087075,4.172060335945392]"
1.0_0.2_1.0_2.0_1.0_0.3_9,"[3.010945120095184,3.0786795946440373,3.143029446192851,3.2042999755341697,3.262758247567535,3.318638839127975,3.3721486617925613,3.423470991182717,3.472768831418567,3.5201877288170245,3.5658581315701547,3.6098973755967285,3.6524113622904686,3.693495981745457,3.733238325065811,3.7717177212678763,3.8090066277427006,3.845171397975753,3.880272945972758,3.9143673234114202,3.9475062227644004,3.979737417387317,4.01110514773222,4.041650461348802,4.071411513106876,4.10042383106209,4.128720552550872,4.156332634407274,4.183289040617203,4.209616910243304,4.235341708049402,4.260487359913366,4.285076374830057,4.309129955062999,4.332668095796763,4.3557096754661595,4.378272537787912,4.40037356639154,4.422028752835485,4.443253258698963,4.4640614723576215]"
1.0_0.2_1.0_2.0_1.0_0.3_10,"[2.858189564445897,2.9352542612014947,3.008246005931315,3.077548018892558,3.1434959836924485,3.20638422648976,3.266471430204659,3.3239856771220184,3.3791287918976805,3.432080035838682,3.4829992313112377,3.5320293992421625,3.5792989866090297,3.6249237511756234,3.66900836056391,3.7116477533503462,3.752928301682622,3.792928807997279,3.8317213626803635,3.8693720847968507,3.9059417641570064,3.9414864198385273,3.9760577877127887,4.009703747422867,4.042468697540843,4.074393886220143,4.105517703496202,4.135875940429111,4.1655020194867305,4.194427199905978,4.222680761218849,4.2502901676686315,4.277281215854819,4.303678167619108,4.329503869909503,4.354779863126224,4.379526479254508,4.403762930920505,4.427507392361463,4.450777073177655,4.473588285626592]"
