SimulationId,cohesion_degree
1.0_0.2_2.0_0.2_2.0_2.0_1,"[0.4032393821079359,0.40476236635507934,0.4049527639902105,0.4050037621109273,0.40501439808129797,0.405009761239077,0.4049993695055452,0.40498719701696917,0.4049749127556403,0.4049631898404294,0.40495226358243414,0.4049421779772904,0.40493289682407213,0.4049243540472995,0.4049164761902402,0.4049091920656607,0.40490243649050867,0.4048961513360706,0.4048902854065334,0.40488479385170073,0.40487963743815286,0.40487478182247416,0.4048701968849323,0.4048658561423252,0.40486173624092886,0.4048578165231113,0.4048540786586625,0.4048505063316551,0.40484708497445,0.4048438015413282,0.4048406443154729,0.4048376027439161,0.40483466729600937,0.4048318293416563,0.40482908104630455,0.4048264152799964,0.40482382553844987,0.4048213058743255,0.4048188508372176,0.40481645542109057]"
1.0_0.2_2.0_0.2_2.0_2.0_2,"[0.40623490002295065,0.4060752884151199,0.4059467215206058,0.4058415656812252,0.4057539922000898,0.4056797994136236,0.4056159934576695,0.4055604207291036,0.40551150263630376,0.40546805635594296,0.40542917596980194,0.40539415341750135,0.40536242520069565,0.40533353575645803,0.40530711174396644,0.40528284359806366,0.4052604720177683,0.40523977787611953,0.4052205745512044,0.4052027020046604,0.40518602214483856,0.40517041515048613,0.4051557765237157,0.4051420147043673,0.40512904912194375,0.40511680859236254,0.405105229989193,0.40509425713531133,0.4050838398729858,0.40507393327949953,0.4050644970022025,0.40505549469223573,0.4050468935201919,0.40503866376016245,0.405030778431182,0.4050232129870318,0.40501594504690674,0.40500895416092375,0.40500222160519533,0.4049957302023145]"
1.0_0.2_2.0_0.2_2.0_2.0_3,"[0.40031374522438934,0.4054242196360097,0.4059000924433557,0.4058276860602265,0.40573726396441134,0.40566158946256936,0.4055985238229158,0.4055450774485532,0.40549893394754727,0.4054584260990663,0.40542237936533587,0.40538995820704293,0.40536055289438255,0.40533370453420126,0.40530905710571696,0.40528632683079985,0.4052652823135377,0.40524573134201647,0.4052275118561942,0.4052104855726153,0.4051945333463508,0.40517955170104614,0.40516545016748856,0.40515214919800224,0.4051395785020649,0.40512767569767283,0.4051163852046214,0.4051056573265009,0.40509544748244686,0.40508571555924366,0.4050764253613274,0.40506754414117907,0.40505904219637345,0.4050508925221252,0.40504307051057997,0.40503555368944183,0.40502832149410006,0.4050213550682119,0.40501463708876156,0.40500815161202197]"
1.0_0.2_2.0_0.2_2.0_2.0_4,"[0.4055590362818765,0.40556676620506843,0.4055213824964995,0.4054662344572342,0.4054144822038177,0.40536922952490856,0.40533025622286906,0.40529654182682096,0.4052670623407069,0.4052409826643969,0.40521766271055315,0.4051966185242685,0.4051774816096919,0.4051599668327128,0.4051438492838487,0.40512894812197137,0.4051151153562661,0.4051022279943329,0.40509018246042616,0.40507889054991,0.40506827643547194,0.4050582744053862,0.40504882712122364,0.405039884251645,0.4050314013840771,0.4050233391456863,0.4050156624848067,0.40500834007744213,0.405001343832602,0.40499464847680383,0.4049882312026062,0.4049820713695773,0.4049761502483783,0.4049704508007924,0.40496495748968997,0.40495965611426465,0.40495453366661416,0.4049495782064419,0.4049447787512703,0.40494012517989014]"
1.0_0.2_2.0_0.2_2.0_2.0_5,"[0.40678810562431067,0.4065919857288097,0.4064282781402203,0.40629010705334884,0.4061721611901204,0.4060704054785795,0.4059817674635391,0.40590388583551074,0.40583492443589764,0.40577343783650976,0.4057182744573525,0.40566850633813123,0.40562337774665524,0.40558226715397944,0.4055446587724865,0.40551012100499895,0.4054782899431677,0.4054488565961856,0.40542155690583587,0.405396163865109,0.4053724812412477,0.4053503385345477,0.405329586897758,0.40531009580878885,0.40529175033902104,0.40527444889620134,0.4052581013482408,0.4052426274549131,0.405227955549897,0.4052140214277726,0.40520076739966804,0.4051881414884416,0.405176096739943,0.4051645906312916,0.40515358456055406,0.405143043405099,0.40513293513808923,0.40512323049434257,0.4051139026783733,0.4051049271084818]"
1.0_0.2_2.0_0.2_2.0_2.0_6,"[0.4050734177064337,0.4049538587038386,0.40494983052173056,0.4049410735132824,0.40492960857038335,0.4049181204186795,0.4049074594562792,0.4048978240249105,0.40488918551104297,0.4048814413505012,0.4048744744419956,0.40486817516816503,0.4048624480345618,0.40485721225317867,0.40485240020842,0.40484795540877594,0.40484383052811984,0.40484005846740356,0.40483653906121814,0.40483322727507254,0.404830098704405,0.40482713347094473,0.404824314349144,0.404821626298316,0.40481905612653846,0.40481659221311367,0.40481422427910674,0.404811943196875,0.4048097408311591,0.4048076099057346,0.40480554389098317,0.40480353690857457,0.4048015836503363,0.4047996793088349,0.40479781951777805,0.4047960003006505,0.40479421802619076,0.40479246936985247,0.40479075128009273,0.4047890609490047]"
1.0_0.2_2.0_0.2_2.0_2.0_7,"[0.3938672724029966,0.3995955922519749,0.40533247754323404,0.4061809622421094,0.4062057206816954,0.4061359982787918,0.40604574824897266,0.40595862098575364,0.40588109369607556,0.40581352476824895,0.40575450705705995,0.40570244094526053,0.4056559835907511,0.40561410354903876,0.4055760260459742,0.4055411654070986,0.40550907037612405,0.4054793850022197,0.40545182188209594,0.40542614404805766,0.4054021526181428,0.4053796782247754,0.4053585749242271,0.40533871575418046,0.4053199894067262,0.40530229767364323,0.40528555343999423,0.4052696790770615,0.4052546051334643,0.40524026925416007,0.4052266152771633,0.40521359247149125,0.40520115488905245,0.40518926080965345,0.4051778722630335,0.40516695461512536,0.405156476208389,0.40514640804784624,0.40513672352613705,0.40512739818188137]"
1.0_0.2_2.0_0.2_2.0_2.0_8,"[0.40658481335822677,0.4064024047442292,0.4062524182771636,0.4061279275888693,0.4060228054699935,0.4059327274974904,0.4058545963695151,0.40578612747208875,0.4057255936447225,0.4056716621412022,0.4056232865111637,0.4055796326903482,0.4055400271422062,0.40550391964404736,0.40547085605672484,0.4054404580578527,0.40541240783009924,0.40538643633777144,0.4053623142425223,0.4053398447871219,0.40531885816526997,0.40529920702625627,0.4052807628552972,0.40526341303603974,0.4052470584492256,0.40523161149624976,0.40521699446198295,0.4052031381505524,0.40518998074211865,0.40517746682982053,0.4051655466043953,0.405154175160626,0.40514331190478253,0.40513292004618123,0.40512296615927135,0.4051134198049229,0.40510425320185817,0.4050954409405505,0.40508695973329073,0.40507878819522014]"
1.0_0.2_2.0_0.2_2.0_2.0_9,"[0.3944224717515342,0.4003402435429918,0.40499554461570764,0.40566513698279383,0.40570692331979713,0.40568585993061584,0.40564635249390113,0.40560271791728547,0.4055597770002743,0.4055192272853664,0.40548029340339287,0.4054443244216778,0.40541128772230683,0.4053809452404443,0.40535303060150196,0.40532729065481854,0.4053034952167044,0.4052814390366028,0.40526094085955594,0.4052418413225408,0.4052240004973739,0.4052072954609886,0.40519161805804,0.4051768729139038,0.4051629757045408,0.40514985166637485,0.40513743432021493,0.40512566438125697,0.40511448882854656,0.4051038601099255,0.405093735461623,0.40508407632466303,0.4050748478430747,0.40506601843119927,0.40505755939954635,0.40504944463029047,0.4050416502950755,0.4050341546087884,0.40502693761427866,0.40501998099341163]"
1.0_0.2_2.0_0.2_2.0_2.0_10,"[0.40642930758158863,0.40633102092346973,0.40621864867954766,0.40611268663142575,0.4060171397782664,0.40593209661753793,0.4058565613931222,0.40578932814866125,0.40572925411888444,0.4056753363158675,0.40562672024818525,0.4055826862160499,0.40554262989710865,0.40550604328672823,0.4054724979589094,0.405441631034314,0.40541313366489956,0.4053867416709279,0.40536222795048865,0.40533939632245863,0.40531807651916585,0.4052981200986615,0.40527939709287564,0.4052617932460221,0.4052452077281125,0.40522955123251714,0.4052147443853656,0.40520071640938315,0.40518740399633585,0.4051747503513351,0.4051627043793313,0.40515121998990694,0.40514025550082156,0.4051297731244177,0.40511973852375355,0.4051101204277999,0.40510089029665275,0.40509202202942607,0.4050834917086421,0.4050752773758271]"
